symbol,d0,era,bucket,day_offset,n_1m_bars,rel_range_med_bp,rel_range_p75_bp,sigma_1m_bp,amihud_bp_per_kusd,zero_vol_minutes,day_turnover_kusd
CUSDT,2025-07-15,e2526,mature_d60_d66,60,1440.0,12.703804201642685,23.30263587693484,18.407415475178915,50.660140627385694,33.0,3207.13934514
CUSDT,2025-07-15,e2526,mature_d60_d66,61,1440.0,20.67636135249829,31.6816792168229,24.74960523537102,27.974584966001785,1.0,3918.0914417
CUSDT,2025-07-15,e2526,mature_d60_d66,62,1440.0,48.752569519769324,75.40511748913302,48.72801174201176,10.342739818824157,0.0,15609.52025546
CUSDT,2025-07-15,e2526,mature_d60_d66,63,1440.0,22.540584349865725,33.69176524171574,21.99879374461126,21.17396596238526,1.0,4289.4282302
CUSDT,2025-07-15,e2526,mature_d60_d66,64,1440.0,18.593790948052156,27.487943464761457,18.82087766389473,20.7321668950629,2.0,3277.2391683799997
CUSDT,2025-07-15,e2526,mature_d60_d66,65,1440.0,19.486886338169324,29.86989213618179,20.866814779584896,24.491186188794906,2.0,4301.88812739
CUSDT,2025-07-15,e2526,mature_d60_d66,66,1440.0,16.043455318990272,23.54730307240125,15.579989626100284,26.31696862843837,4.0,3427.5338697
CYBERUSDT,2023-08-16,e2324,listing_d1_d7,1,1440.0,24.15073372118729,39.76358456409318,29.638396838287075,130.042001337483,58.0,7092.40508106
CYBERUSDT,2023-08-16,e2324,listing_d1_d7,2,1440.0,52.818956196509504,88.58970772734206,54.17603651026748,18.25460200957638,8.0,72039.53482045999
CYBERUSDT,2023-08-16,e2324,listing_d1_d7,3,1440.0,22.318883621204435,36.31272878237862,26.65547644045251,6.4309252751787795,19.0,17162.549847910002
CYBERUSDT,2023-08-16,e2324,listing_d1_d7,4,1440.0,25.191149735691805,41.63777441597218,31.581903437431606,3.9591584726561786,0.0,32423.33784557
CYBERUSDT,2023-08-16,e2324,listing_d1_d7,5,1440.0,36.41498447630304,63.12284555667369,36.61840934650994,1.7413463666718827,0.0,60392.19288064
CYBERUSDT,2023-08-16,e2324,listing_d1_d7,6,1440.0,39.56108943865236,66.61533647502522,46.84344811912174,0.8140382645240243,0.0,109056.92214701
CYBERUSDT,2023-08-16,e2324,listing_d1_d7,7,1440.0,26.712709319421826,41.04058806253199,42.429891668573376,1.4136302217397132,0.0,54373.655510920005
CYBERUSDT,2023-08-16,e2324,mature_d60_d66,60,1440.0,4.618328221046488,7.814026212773874,6.5727132610765615,23.742814034110047,58.0,5703.09407895
CYBERUSDT,2023-08-16,e2324,mature_d60_d66,61,1440.0,7.027561338662648,11.213042601020044,10.126251282710143,20.1615394760426,53.0,13202.624565609998
CYBERUSDT,2023-08-16,e2324,mature_d60_d66,62,1440.0,6.6979992169576725,11.773005861503698,10.75593186629874,23.73548277655577,61.0,11213.65999881
CYBERUSDT,2023-08-16,e2324,mature_d60_d66,63,1440.0,8.965024512741259,14.23445385043639,10.349302604896033,16.25119474600772,26.0,9160.86534865
CYBERUSDT,2023-08-16,e2324,mature_d60_d66,64,1440.0,8.650195400065272,14.134461764349359,11.09861076929692,36.788570958957436,28.0,10924.6029783
CYBERUSDT,2023-08-16,e2324,mature_d60_d66,65,1440.0,7.479973188970594,12.802794405982162,9.147887372713747,52.50842869912442,64.0,7235.75006715
CYBERUSDT,2023-08-16,e2324,mature_d60_d66,66,1440.0,6.468636740493379,11.076024404508965,8.425972232047961,43.47577025956831,110.0,6152.92686757
DBRUSDT,2024-10-17,e2324,listing_d1_d7,1,1440.0,54.47364938287397,86.56437475621138,57.40148903874122,2.1344687392308557,1.0,41113.64876710001
DBRUSDT,2024-10-17,e2324,listing_d1_d7,2,1440.0,26.58396159003834,44.020545764310626,29.3225458476741,4.976477006853484,1.0,12784.099699499999
DBRUSDT,2024-10-17,e2324,listing_d1_d7,3,1440.0,24.383680616724515,40.63113755370495,26.97913137005102,7.264717955602234,11.0,9857.816475099999
DBRUSDT,2024-10-17,e2324,listing_d1_d7,4,1440.0,18.967619911906827,30.674846625767753,22.869913613885835,10.970796780328664,19.0,7816.169731
DBRUSDT,2024-10-17,e2324,listing_d1_d7,5,1440.0,26.533999602210095,41.49736411900663,24.733245106609377,12.06714648150609,14.0,10412.874512699998
DBRUSDT,2024-10-17,e2324,listing_d1_d7,6,1440.0,30.17729588206844,46.22819988199245,31.96836075964341,6.582828698958681,4.0,13327.722758400001
DBRUSDT,2024-10-17,e2324,listing_d1_d7,7,1440.0,32.86473434589744,54.759224748996225,38.10967466169828,3.8905049164944665,0.0,21845.5003472
DBRUSDT,2024-10-17,e2324,mature_d60_d66,60,1440.0,20.47083300763845,35.50296790833401,22.56166518452151,32.50292579984896,75.0,4758.467692699999
DBRUSDT,2024-10-17,e2324,mature_d60_d66,61,1440.0,11.387900586626364,20.185999882231354,14.485024030760501,51.16420566759522,92.0,4304.4618007
DBRUSDT,2024-10-17,e2324,mature_d60_d66,62,1440.0,12.051822838203789,23.286277131446326,18.10818608175274,37.71244411275216,76.0,6644.1955076
DBRUSDT,2024-10-17,e2324,mature_d60_d66,63,1440.0,11.87472194784169,22.188833769134227,19.10388289531439,30.952559965132153,70.0,6454.468187799999
DBRUSDT,2024-10-17,e2324,mature_d60_d66,64,1440.0,49.76435983593057,96.06072600241716,86.35714047361466,6.497738271469531,14.0,66269.3713152
DBRUSDT,2024-10-17,e2324,mature_d60_d66,65,1440.0,52.118103025162654,81.15586911529769,53.6635820189981,1.6242749954161417,0.0,55553.9623957
DBRUSDT,2024-10-17,e2324,mature_d60_d66,66,1440.0,37.33844047651469,56.95648953620011,34.67910544929928,3.284298922069677,1.0,24041.157867299997
DEGENUSDT,2024-04-01,e2324,listing_d1_d7,1,1440.0,71.72135382716054,110.89293738150191,71.20857203521226,3.3243877600412657,0.0,33948.1731592
DEGENUSDT,2024-04-01,e2324,listing_d1_d7,2,1440.0,72.18797107175287,107.16105494571183,64.36633306118814,1.7613630464848122,0.0,56908.0728318
DEGENUSDT,2024-04-01,e2324,listing_d1_d7,3,1440.0,46.62006098022003,70.57068412858098,41.055709781819,1.8359342638540384,0.0,36651.45027079999
DEGENUSDT,2024-04-01,e2324,listing_d1_d7,4,1440.0,50.37961408471807,76.19039140602811,50.893594376679026,1.6487086736700052,0.0,42991.2974208
DEGENUSDT,2024-04-01,e2324,listing_d1_d7,5,1440.0,51.31707103723508,71.86789943563147,39.679939809482725,1.6882288510317185,0.0,38314.7052703
DEGENUSDT,2024-04-01,e2324,listing_d1_d7,6,1440.0,44.89607978837722,66.21427554465681,39.69508262503629,1.6639987446561308,0.0,37559.0992764
DEGENUSDT,2024-04-01,e2324,listing_d1_d7,7,1440.0,45.51143533715148,68.14197903364457,42.653658116470865,1.1733425182843191,0.0,71600.86363910002
DEGENUSDT,2024-04-01,e2324,mature_d60_d66,60,1440.0,19.102196752625773,28.697836936152008,20.785814962635676,2.389161825524707,5.0,22034.330160499998
DEGENUSDT,2024-04-01,e2324,mature_d60_d66,61,1440.0,17.44059380906452,25.884397553499802,16.074968686062405,1.58201940905896,0.0,18886.2054961
DEGENUSDT,2024-04-01,e2324,mature_d60_d66,62,1440.0,13.805798435342282,22.5835591689241,15.017803461857726,2.5226690787401056,2.0,16822.1836767
DEGENUSDT,2024-04-01,e2324,mature_d60_d66,63,1440.0,13.863216266173188,22.9278926845276,14.709435945998694,3.490021374395748,2.0,11621.5849545
DEGENUSDT,2024-04-01,e2324,mature_d60_d66,64,1440.0,17.19690773574286,25.564550489987653,15.859486520779653,2.2087014759231565,0.0,16821.597774000005
DEGENUSDT,2024-04-01,e2324,mature_d60_d66,65,1440.0,17.219113215668692,25.762129669385324,15.243597671358279,1.736006729820115,0.0,15471.656864
DEGENUSDT,2024-04-01,e2324,mature_d60_d66,66,1440.0,12.51564673399251,20.321075471127077,12.224827634019263,3.476623319869162,2.0,12376.2914402
DEXEUSDT,2024-07-25,e2324,listing_d1_d7,1,1440.0,6.420545819910013,14.941304070783845,12.581334837209162,131.646182299244,422.0,691.6610124
DEXEUSDT,2024-07-25,e2324,listing_d1_d7,2,1440.0,3.1515915885161725,13.87652883758159,12.693100752968205,106.09951080190069,532.0,688.3052859000001
DEXEUSDT,2024-07-25,e2324,listing_d1_d7,3,1440.0,3.256449277758262,15.064701455254893,14.55520021815368,191.6282128960183,567.0,458.87970429999996
DEXEUSDT,2024-07-25,e2324,listing_d1_d7,4,1440.0,12.672983752241306,24.729777024384106,21.112593884598255,107.59295143859443,244.0,1328.7284677
DEXEUSDT,2024-07-25,e2324,listing_d1_d7,5,1440.0,12.5543131489771,25.665018541069387,20.15268870966333,92.19896436066625,217.0,1646.1493719000002
DEXEUSDT,2024-07-25,e2324,listing_d1_d7,6,1440.0,12.752393377591805,27.641604587775216,18.084788345113708,98.39253202439622,374.0,1378.6659169
DEXEUSDT,2024-07-25,e2324,listing_d1_d7,7,1440.0,12.522768832607731,25.81478703009114,21.248686379703422,132.13866977686195,342.0,867.7505022999999
DEXEUSDT,2024-07-25,e2324,mature_d60_d66,60,1440.0,0.0,0.0,8.267853635570196,552.3406745735714,1082.0,175.08508259999996
DEXEUSDT,2024-07-25,e2324,mature_d60_d66,61,1440.0,0.0,0.0,8.332491382175851,592.4456284515404,1056.0,186.76404440000002
DEXEUSDT,2024-07-25,e2324,mature_d60_d66,62,1440.0,0.0,0.0,6.692664094688552,314.4923981056192,1172.0,88.1529841
DEXEUSDT,2024-07-25,e2324,mature_d60_d66,63,1440.0,0.0,2.271378935018889,10.346939082841496,442.3692513598991,1023.0,132.4448401
DEXEUSDT,2024-07-25,e2324,mature_d60_d66,64,1440.0,0.0,5.527614522215311,13.287249918229739,473.16128705048754,962.0,256.4476427
DEXEUSDT,2024-07-25,e2324,mature_d60_d66,65,1440.0,0.0,0.0,6.7429600276984445,639.4401818415645,1102.0,86.70492559999998
DEXEUSDT,2024-07-25,e2324,mature_d60_d66,66,1440.0,0.0,0.0,9.405759174188434,466.9643704434798,1083.0,163.70080679999998
DOODUSDT,2025-05-09,e2526,listing_d1_d7,1,1440.0,52.465443279314236,79.25867939495832,51.589170301037015,5.702635585088132,0.0,15837.11569376
DOODUSDT,2025-05-09,e2526,listing_d1_d7,2,1440.0,30.76227283266648,47.05575341916997,33.48708614619889,9.553193433775084,1.0,10660.97795488
DOODUSDT,2025-05-09,e2526,listing_d1_d7,3,1440.0,35.03098134607064,55.656074754765505,64.48712850976544,10.24849688651659,0.0,11881.334538600002
DOODUSDT,2025-05-09,e2526,listing_d1_d7,4,1440.0,40.79246192267247,60.304853971939934,41.14542351761097,9.499751945946105,0.0,9727.33690105
DOODUSDT,2025-05-09,e2526,listing_d1_d7,5,1440.0,33.47722901449036,50.09169319291719,38.036606505112076,19.064328148444964,1.0,5994.728569919999
DOODUSDT,2025-05-09,e2526,listing_d1_d7,6,1440.0,30.864397216549857,45.660043470291086,32.252094275677585,18.251884095752093,0.0,5290.81018052
DOODUSDT,2025-05-09,e2526,listing_d1_d7,7,1440.0,34.861098075074516,50.02501400880578,37.793902445270135,15.863529430864872,0.0,6995.957728530001
DOODUSDT,2025-05-09,e2526,mature_d60_d66,60,1440.0,3.9864462416954294,11.82499014584183,11.536320826960646,1733.489088866351,344.0,284.89812059
DOODUSDT,2025-05-09,e2526,mature_d60_d66,61,1440.0,3.892565200465936,11.525163273146234,9.626717310212038,2210.1004038748815,324.0,255.76129123
