symbol,d0,era,pump01,crowd7d,d0_bars,funding_events_d0_d7
CATIUSDT,2024-09-11,e2324,-0.16829679595278235,2,17,23
CBRSUSDT,2026-05-19,e2526,-0.016367781672168014,12,15,23
CCUSDT,2025-10-31,e2526,0.1301473230326986,6,10,45
CEEKUSDT,2022-07-18,e2122,0.01307306590257884,0,14,22
CELOUSDT,2022-01-05,e2122,-0.12716967764789233,1,13,22
CELRUSDT,2021-10-25,e2122,0.027310924369747802,7,17,23
CETUSUSDT,2024-02-05,e2324,-0.00617235721540732,4,17,24
CFGUSDT,2026-03-17,e2526,-0.12952731737262113,1,20,47
CFXUSDT,2023-02-21,e2324,-0.16720474289739384,4,22,24
CGPTUSDT,2025-01-10,e2526,-0.04042823766007142,7,13,90
CHESSUSDT,2024-09-02,e2324,0.0042787286063570296,2,15,23
CHILLGUYUSDT,2024-11-21,e2324,-0.270920245398773,8,14,23
CHIPUSDT,2026-04-16,e2526,-0.003474232773595931,1,14,46
CHRUSDT,2021-11-18,e2122,0.0800037167812675,4,17,23
CHZUSDT,2021-10-12,e2122,0.10664187933074198,10,21,23
CIENUSDT,2026-06-29,e2526,0.006289825282631112,18,16,23
CKBUSDT,2022-02-15,e2122,0.041479433114414155,3,16,22
CLANKERUSDT,2025-04-28,e2526,-0.02801519468186131,5,14,46
CLOUDUSDT,2024-07-19,e2324,0.03987935656836461,4,14,23
CLOUSDT,2025-10-17,e2526,0.15671641791044788,7,12,45
CLUSDT,2026-03-24,e2526,0.02703708297159868,1,16,47
COAIUSDT,2025-10-02,e2526,-0.18967558607624913,12,16,46
COCOSUSDT,2023-02-20,e2324,0.12272435210965948,3,12,23
COHRUSDT,2026-06-16,e2526,-0.0766689805395313,3,14,23
COINUSDT,2026-04-29,e2526,-0.02355326782093281,10,16,23
COMBOUSDT,2023-06-08,e2324,-0.03644067796610162,4,14,23
COMMONUSDT,2025-10-27,e2526,-0.4423791821561338,7,11,45
COMPUSDT,2021-08-31,e2122,0.08380520951302373,4,11,22
COOKIEUSDT,2025-01-07,e2526,-0.07908391483270694,4,16,24
COOKUSDT,2024-12-02,e2324,0.19091673675357446,4,16,24
COREUSDT,2023-02-09,e2324,-0.3774207278144286,2,13,23
COSUSDT,2024-05-09,e2324,-0.05067802503477048,2,15,23
COTIUSDT,2021-12-03,e2122,-0.15595105672969967,13,16,23
COVALUSDT,2024-03-08,e2324,0.08330914368650211,1,15,23
COWUSDT,2024-11-08,e2324,-0.029783761729906155,1,14,23
CPOOLUSDT,2025-03-06,e2526,-0.23942701227830832,1,14,46
CRCLUSDT,2026-05-06,e2526,-0.04512742358818045,4,16,23
CRDOUSDT,2026-06-23,e2526,0.0014926434003839084,6,16,23
CREAMUSDT,2022-01-17,e2122,-0.09193776520509189,3,14,22
CROSSUSDT,2025-07-10,e2526,0.22462968799243632,5,13,46
CROUSDT,2021-11-23,e2122,0.19967804681735868,6,16,22
CRVUSDT,2021-10-25,e2122,0.1195468787659677,7,17,23
CRWVUSDT,2026-05-12,e2526,-0.008115737473535667,10,16,23
CSCOUSDT,2026-05-20,e2526,0.027425794132962977,10,16,23
CTCUSDT,2022-05-17,e2122,-0.07126436781609191,0,14,22
CTKUSDT,2021-12-03,e2122,-0.2466547725245316,13,16,23
CTRUSDT,2026-06-09,e2526,-0.18586387434554974,15,16,46
CTSIUSDT,2022-03-23,e2122,0.019414928505837592,5,15,22
CUDISUSDT,2025-06-12,e2526,0.004247143290524669,5,16,46
CUSDT,2025-07-15,e2526,-0.3508771929824561,7,14,46
CVCUSDT,2021-12-01,e2122,-0.052074139452780166,13,11,22
CVXUSDT,2022-04-20,e2122,-0.0379251700680272,2,11,22
CYBERUSDT,2023-08-16,e2324,-0.20704205157616606,6,20,24
CYSUSDT,2025-12-12,e2526,0.07122507122507127,3,13,46
DAMUSDT,2025-08-18,e2526,-0.3785523236375794,4,11,45
DAOUSDT,2024-03-27,e2324,0.030680352235122443,0,13,23
DARKUSDT,2025-04-27,e2526,-0.25839793281653745,4,17,47
DARUSDT,2022-05-02,e2122,0.16482617586912074,4,14,22
DASHUSDT,2021-10-12,e2122,0.038516001132823385,10,21,23
DBRUSDT,2024-10-17,e2324,0.11714556362488171,5,13,23
DEEPUSDT,2024-10-17,e2324,0.5045235223160431,5,12,23
DEGENUSDT,2024-04-01,e2324,-0.2477064220183487,5,10,23
DELLUSDT,2026-06-02,e2526,-0.14104943478994447,4,16,23
DENTUSDT,2022-01-14,e2122,-0.00349087003222337,4,14,22
DEXEUSDT,2024-07-25,e2324,0.015212765957446583,7,14,23
DGBUSDT,2022-03-28,e2122,-0.1190349946977729,6,14,22
DIAUSDT,2025-07-23,e2526,-0.02153061224489794,2,16,46
DMCUSDT,2025-07-03,e2526,-0.07472836707574448,2,13,46
DODOUSDT,2022-04-22,e2122,-0.040581102173129935,4,16,23
DOGEUSDT,2021-06-02,e2122,-0.05493987267153966,0,14,22
DOGSUSDT,2024-08-26,e2324,0.03862300587741396,5,11,23
DOGUSDT,2024-06-04,e2324,0.006636694497966111,6,14,23
DOLOUSDT,2025-07-28,e2526,-0.1544632828796063,4,15,46
DOODUSDT,2025-05-09,e2526,0.1119945167923233,5,11,45
DOP1USDT,2024-07-10,e2324,0.12266634020934064,1,15,23
DRAMUSDT,2026-05-19,e2526,0.07329712698478508,12,15,23
DRIFTUSDT,2024-05-21,e2324,0.48040394325559044,6,14,23
DUCKUSDT,2025-01-16,e2526,-0.24064521411610584,4,14,46
DUSKUSDT,2021-12-17,e2122,-0.09877474081055604,5,19,23
DYDXUSDT,2021-10-11,e2122,-0.10040322580645167,4,18,23
DYMUSDT,2024-02-07,e2324,0.4292165717651679,3,20,24
EDENUSDT,2025-09-30,e2526,-0.3728731161886242,10,13,46
EDGEUSDT,2026-03-20,e2526,-0.012433900242961315,2,20,48
EDUUSDT,2023-05-05,e2324,-0.09164081495765919,2,15,23
EGLDUSDT,2021-11-23,e2122,-0.14339128809123203,6,16,22
EIGENUSDT,2024-08-07,e2324,-0.14645491803278687,2,17,23
ELSAUSDT,2026-01-22,e2526,-0.23919412268445484,3,17,185
ELXUSDT,2025-03-12,e2526,-0.11474785918173158,4,14,47
ENAUSDT,2024-04-02,e2324,0.9184846947404024,6,13,23
ENJUSDT,2021-11-01,e2122,0.25865539452495967,1,16,22
ENSOUSDT,2025-10-14,e2526,0.10538865045302814,5,15,46
ENSUSDT,2021-11-12,e2122,-0.09542419801335289,5,19,23
EOSUSDT,2021-06-29,e2122,0.04078549848942603,4,18,23
EPICUSDT,2025-03-14,e2526,0.12821020664157934,4,16,46
EPTUSDT,2025-04-21,e2526,-0.35981547924141466,2,12,45
ERAUSDT,2025-07-17,e2526,0.028106958371315605,5,8,177
ESPORTSUSDT,2025-07-29,e2526,-0.37624923959329104,6,14,46
ESPUSDT,2026-02-10,e2526,-0.10804914456309567,1,14,46
ESUSDT,2025-07-16,e2526,-0.045895281189398784,8,14,46
ETCUSDT,2021-06-29,e2122,0.25403577661431065,4,17,23
ETHBTCUSDT,2024-06-07,e2324,-0.006320474222562988,5,14,23
ETHFIUSDT,2024-03-18,e2324,-0.11702750146284391,7,10,23
ETHWUSDT,2022-09-16,e2122,-0.34427510746385304,0,13,23
EULUSDT,2025-10-14,e2526,-0.04966693934790234,5,16,46
EVAAUSDT,2025-10-17,e2526,0.05230244457077893,7,12,45
EWJUSDT,2026-05-07,e2526,0.003145336225596429,7,16,23
EWTUSDT,2026-06-04,e2526,-0.06547447360830694,7,15,23
EWYUSDT,2026-05-07,e2526,0.06537383947700937,7,16,23
FARTCOINUSDT,2024-12-20,e2324,-0.20063821300358986,7,15,23
FBUSDT,2024-09-25,e2324,0.05216752387950052,3,14,23
FDUSDUSDT,2024-08-16,e2324,-0.0010991207034370953,1,14,23
FETUSDT,2023-02-09,e2324,-0.10360216767612374,2,17,24
FFUSDT,2025-09-29,e2526,-0.5206818751566809,9,10,177
FHEUSDT,2026-01-07,e2526,-0.12060737527114973,1,16,46
FIDAUSDT,2024-09-25,e2324,-0.061585197459265384,3,15,23
FIGHTUSDT,2026-01-23,e2526,0.03125,6,12,46
FILUSDT,2021-06-29,e2122,0.05201605864897885,4,17,23
FIOUSDT,2024-09-26,e2324,0.01498021481062728,3,16,23
FIREUSDT,2024-05-09,e2324,0.015969722145296794,2,15,23
FISUSDT,2025-07-28,e2526,-0.08918075611348952,4,15,46
FITFIUSDT,2022-05-10,e2122,-0.6105011933174224,2,16,22
FLMUSDT,2022-05-02,e2122,0.006545670931270342,4,14,22
FLNCUSDT,2026-06-16,e2526,-0.006630750103605476,3,14,23
FLOCKUSDT,2025-01-09,e2526,0.0907638223074465,7,14,46
FLOWUSDT,2021-11-26,e2122,0.005922165820642977,13,15,22
FLRUSDT,2023-03-17,e2324,0.03370396108408613,3,21,24
FLUIDUSDT,2025-09-24,e2526,-0.26256248355695877,5,12,46
FLUXUSDT,2024-09-04,e2324,-0.09853772017281492,2,16,23
FOGOUSDT,2026-01-11,e2526,-0.07834385100815755,3,16,47
FOLKSUSDT,2025-12-09,e2526,0.2534049030604071,2,13,106
FORMUSDT,2025-03-19,e2526,0.002951593860684776,5,14,46
FORTHUSDT,2023-08-01,e2324,-0.013971462544589808,4,15,23
FOXYUSDT,2024-04-12,e2324,-0.19867477137068068,3,13,23
FRAGUSDT,2025-07-01,e2526,-0.42062362530728425,2,15,46
FRONTUSDT,2023-09-18,e2324,0.3964883820792977,0,12,23
FTMUSDT,2021-09-23,e2122,-0.044240733359904305,1,18,23
FTNUSDT,2024-05-16,e2324,0.006469689251146216,5,14,23
FTTUSDT,2021-10-12,e2122,0.014995313964386137,10,21,23
FUELUSDT,2024-12-31,e2324,0.056017830609212504,4,14,46
FUNUSDT,2023-12-14,e2324,0.08212861415752748,3,14,23
FUSDT,2024-12-06,e2324,-0.25783499915297303,6,14,23
FWOGUSDT,2024-11-12,e2324,0.20780342022248055,4,15,23
FXSUSDT,2022-04-04,e2122,-0.13752609603340304,5,18,23
GALAUSDT,2021-11-09,e2122,-0.10444662952037587,2,16,22
GALUSDT,2022-05-05,e2122,-0.08429520811472546,3,9,22
GASUSDT,2023-10-23,e2324,-0.044656606097936535,2,14,23
GEMSUSDT,2024-12-05,e2324,-0.1252601599298938,5,13,23
GENIUSUSDT,2026-04-16,e2526,0.2226898123794494,1,16,46
GFTUSDT,2023-02-10,e2324,0.14109647258818536,3,14,23
GIGAUSDT,2024-12-12,e2324,0.012366983031348866,4,15,23
GIGGLEUSDT,2025-10-09,e2526,0.11072628043660782,3,12,45
GLMRUSDT,2022-03-30,e2122,-0.08096215899090642,6,12,22
GLMUSDT,2023-08-10,e2324,-0.0680727023319615,4,16,24
GLWUSDT,2026-06-24,e2526,0.09717053275554433,11,16,24
GMEUSDT,2024-06-11,e2324,-0.02337058256282254,5,14,23
GMTUSDT,2022-03-19,e2122,-0.1994732464652066,5,16,22
GMXUSDT,2022-10-10,e2122,-0.11313953488372097,0,13,23
GNOUSDT,2024-05-14,e2324,0.0025490055288288627,4,12,23
GOATUSDT,2024-10-23,e2324,0.06240000000000001,4,15,23
GODSUSDT,2023-11-22,e2324,0.2246188174042396,5,17,24
GOMININGUSDT,2024-10-02,e2324,-0.05903403110747274,3,16,23
GOOGLUSDT,2026-04-27,e2526,0.01699205679536786,7,16,23
GORKUSDT,2025-05-05,e2526,-0.5388198757763976,3,14,46
GPSUSDT,2025-02-18,e2526,0.05021682567215957,6,16,46
GPTUSDT,2023-03-17,e2324,-0.25667707249393,3,21,24
GRAMUSDT,2026-06-22,e2526,-0.04750378214826023,4,14,46
GRASSUSDT,2024-10-17,e2324,-0.16482456140350876,5,15,23
GRIFFAINUSDT,2024-12-20,e2324,0.2682214072885629,7,16,23
GRTUSDT,2021-12-06,e2122,0.08853754940711478,14,15,22
GSTUSDT,2022-05-02,e2122,,4,16,22
GTCUSDT,2021-11-29,e2122,-0.12290502793296099,13,13,22
GUNUSDT,2025-03-31,e2526,-0.40735169690702266,3,11,45
GUSDT,2024-07-25,e2324,0.02261927390230012,7,14,23
GWEIUSDT,2026-05-18,e2526,-0.04949784791965561,12,16,46
HAEDALUSDT,2025-04-30,e2526,0.5443890274314216,6,12,46
HANAUSDT,2025-10-17,e2526,-0.04047530634979579,7,12,45
HBARUSDT,2021-10-25,e2122,0.030558482613277205,7,17,23
HEIUSDT,2025-02-14,e2526,-0.1376766287357759,8,15,46
HEMIUSDT,2025-09-23,e2526,0.1054868624420402,4,11,45
HFTUSDT,2023-03-14,e2324,0.0006913716814160864,2,14,23
HIFIUSDT,2023-08-28,e2324,-0.010613857746737732,2,12,23
HIGHUSDT,2023-02-17,e2324,0.07567397130695253,3,15,23
HIPPOUSDT,2024-11-14,e2324,0.21206318812829106,8,15,23
HIVEUSDT,2024-12-23,e2324,-0.027034407427635188,7,14,37
HMSTRUSDT,2024-09-13,e2324,-0.7095,3,15,23
HNTUSDT,2022-01-24,e2122,0.2389723703344644,3,12,22
HOLOUSDT,2025-09-11,e2526,-0.24371815146722897,3,12,75
HOMEUSDT,2025-06-10,e2526,0.2406396255850234,4,13,46
HOODUSDT,2026-04-22,e2526,-0.05912539045069165,5,15,23
HOOKUSDT,2023-02-13,e2324,0.09932517924926199,4,21,24
HOTUSDT,2022-03-28,e2122,-0.07034277198211625,6,15,22
HPEUSDT,2026-06-26,e2526,-0.051259774109470024,15,16,23
HPOS10IUSDT,2024-10-21,e2324,-0.11042756075053828,4,14,23
HUMAUSDT,2025-05-26,e2526,-0.18369880016549445,4,11,45
HUSDT,2025-06-25,e2526,-0.48654361343918207,2,15,57
HYPERUSDT,2025-04-22,e2526,-0.07513491075134915,2,12,45
HYPEUSDT,2024-12-05,e2324,0.0868840579710144,5,12,23
HYUNDAIUSDT,2026-06-04,e2526,-0.10236034955448947,7,21,24
IBMUSDT,2026-06-05,e2526,-0.06498447982377098,12,16,23
ICNTUSDT,2025-07-03,e2526,-0.39561443581544087,2,11,46
