symbol,decision_ts_ms,date,era,block,decile,is_d9,btc_up,ret1,turnover_spike_168h,max_ret168,hold_h,n_settlements,long_gross,long_funding,short_path,long_net45,stratum
1000000MOGUSDT,1753232400000,2025-07-23,e2526,724,8,0,1,-0.005734015660644798,4.074009482011383,0.05612871530336516,24.0,6,-0.03822572572572569,-0.0008912,0.03822572572572569,-0.04361692572572569,0-2-1
1000000MOGUSDT,1753369200000,2025-07-24,e2526,724,8,0,1,0.06855694815423607,1.4143930233214956,0.06855694815423607,24.0,6,-0.07825408183178306,-0.00030000000000000003,0.07825408183178306,-0.08305408183178306,2-2-2
1000000MOGUSDT,1753455600000,2025-07-25,e2526,724,8,0,1,-0.055123911587407926,1.4173257655501585,0.06855694815423607,24.0,5,0.0929428369795342,-0.00025,-0.0929428369795342,0.0881928369795342,0-2-2
1000000MOGUSDT,1753542000000,2025-07-26,e2526,724,8,0,1,-0.021344785590667326,0.512673510158219,0.06855694815423607,24.0,6,0.01904823400271205,-0.00030000000000000003,-0.01904823400271205,0.014248234002712048,0-0-2
1000000MOGUSDT,1754661600000,2025-08-08,e2526,725,7,0,1,0.04879944051596863,1.7393583396959074,0.04879944051596863,24.0,6,0.09403924472417624,-0.00031912,-0.09403924472417624,0.08922012472417623,2-2-1
1000000MOGUSDT,1754748000000,2025-08-09,e2526,725,9,1,1,-0.023183207121031058,2.8251262630620655,0.07688184393904596,24.0,6,-0.0217258883248731,-0.00085544,0.0217258883248731,-0.0270813283248731,0-2-2
1000000MOGUSDT,1754834400000,2025-08-10,e2526,725,9,1,1,-0.010140297263508735,1.0200364982991648,0.07688184393904596,24.0,6,-0.012660855126608528,-0.00035985,0.012660855126608528,-0.017520705126608527,0-1-2
1000000MOGUSDT,1755392400000,2025-08-17,e2526,725,8,0,0,-0.0016243481234504697,0.31068561483215085,0.058711983079279495,24.0,6,-0.010970174837161561,-0.00019675,0.010970174837161561,-0.01566692483716156,1-0-1
1000000MOGUSDT,1755478800000,2025-08-18,e2526,725,9,1,0,0.005490734385724005,0.53549288403006,0.058711983079279495,24.0,6,-0.04991334488734822,-0.00030000000000000003,0.04991334488734822,-0.05471334488734822,1-0-1
1000000MOGUSDT,1755565200000,2025-08-19,e2526,725,8,0,0,0.012304351759703236,1.2390047029358149,0.058711983079279495,24.0,6,-0.05189711784020423,-0.00030000000000000003,0.05189711784020423,-0.05669711784020423,2-2-1
