threshold,sign,persistence,era,n_trades,mean_gross_alt_bp,mean_alt_funding_bp,mean_gross_btc_bp,mean_btc_funding_bp,mean_net_unhedged_bp,mean_net_hedged_bp,mean_hold_h,n_weeks,capped_share,se_net_hedged_bp_wk,se_net_unhedged_bp_wk,median_net_hedged_bp,win_rate_hedged
0.003,-1,1,e2122,580,-386.16781070071283,75.85415413793103,193.85600330032915,0.5588932758620689,-355.3136565627818,-205.89875998659065,13.467241379310344,73,0.0,213.15790516588217,329.5169104769105,-263.88072430804596,0.29310344827586204
0.003,-1,1,e2324,971,-75.29265982779296,119.58791740473738,-20.977754431198296,1.2161590113285274,-0.7047424230555807,-65.46633784292533,13.60453141091658,102,0.0010298661174047373,38.342215444955414,38.13732720413604,-148.37824645794265,0.35015447991761073
0.003,-1,1,e2526,7889,-94.41034033296688,106.27219551273926,2.696656279289046,0.3270760806185829,-33.13814482022763,-75.11441246031998,10.289517049055647,78,0.0016478641145899354,15.620182292645922,18.24431519928931,-139.1873092649924,0.2937000887311446
0.003,-1,1,pre2025,1551,-191.5451340420377,103.23357653127015,59.359820993873214,0.9703729851708576,-133.31155751076753,-117.98136353172346,13.553191489361701,175,0.0006447453255963894,90.32922643431152,140.6773083653265,-180.49509059612947,0.3288201160541586
0.003,-1,1,post2025,7889,-94.41034033296688,106.27219551273926,2.696656279289046,0.3270760806185829,-33.13814482022763,-75.11441246031998,10.289517049055647,78,0.0016478641145899354,15.655093041783017,18.315646201126,-139.1873092649924,0.2937000887311446
0.003,-1,2,pooled,4436,-115.33010698770096,178.36191307484222,2.6037430030189452,0.5377239855725879,18.03180608714124,-23.826726924267223,14.44161406672678,216,0.0020288548241659153,25.695514017519475,27.35429629450757,-139.52659503629434,0.31807935076645627
0.003,-1,2,e2122,152,162.9166961825405,205.03180723684213,13.909599231153276,0.5300592105263158,322.94850341938263,292.3881618610622,22.039473684210527,52,0.0,161.70992302360204,177.21265451157564,-72.76240959260441,0.45394736842105265
0.003,-1,2,e2324,398,-100.27542510039596,215.76458743718598,-24.482511396168487,1.6143914572864324,70.48916233678997,2.621042397907929,19.035175879396984,87,0.0,73.24226773800056,72.66872080225188,-185.31865290763,0.33668341708542715
0.003,-1,2,e2526,3886,-127.75555152527792,173.48798401955742,4.935662484285074,0.4277526505404014,0.7324324942794558,-38.904152370895055,13.673957797220792,78,0.0023160061760164694,26.86185312528464,29.9506094043005,-139.459274911622,0.31085949562532167
0.003,-1,2,pre2025,550,-27.538693400384417,212.79843727272728,-13.872328095526836,1.3147214545454546,140.25974387234285,82.70213723136149,19.865454545454547,139,0.0,71.12997892068867,69.71679144863894,-149.31267692572337,0.3690909090909091
0.003,-1,2,post2025,3886,-127.75555152527792,173.48798401955742,4.935662484285074,0.4277526505404014,0.7324324942794558,-38.904152370895055,13.673957797220792,78,0.0023160061760164694,26.352831285000367,29.452088975911675,-139.459274911622,0.31085949562532167
0.005,1,1,pooled,688,10.907404526866724,29.229354796511622,-3.7065958723451886,-0.3350280523255814,-4.863240676621647,-53.9048646012924,14.734011627906977,86,0.03197674418604651,63.29933287222106,62.504446826596464,-76.01681592282564,0.3866279069767442
0.005,1,1,e2122,5,19.94272718911483,13.63464,29.658132142384552,2.13582,-11.422632810885174,-24.62868066850063,8.0,5,0.0,151.66581405674984,91.09482894237243,5.511479187227959,0.6
0.005,1,1,e2324,27,116.02355603571881,13.025303703703708,7.535795824566489,-1.3621,84.04885973942253,45.222555563989026,5.037037037037037,15,0.0,121.3994381154643,139.7589164646912,23.9676958835113,0.5555555555555556
0.005,1,1,e2526,656,6.51211077069258,30.015151981707316,-4.423620591690103,-0.3115879573170732,-8.472737247600094,-58.207945796607284,15.184451219512194,66,0.03353658536585366,66.98777168625912,64.56125372391708,-77.05578056973324,0.3780487804878049
0.005,1,1,pre2025,32,101.01092652843695,13.120512499999998,10.99241087422556,-0.81555,69.13143902843694,34.30829990266253,5.5,20,0.0,104.1355276700913,117.54019676802852,20.52844631681731,0.5625
0.005,1,1,post2025,656,6.51211077069258,30.015151981707316,-4.423620591690103,-0.3115879573170732,-8.472737247600094,-58.207945796607284,15.184451219512194,66,0.03353658536585366,66.17921850481487,64.04421003971393,-77.05578056973324,0.3780487804878049
0.005,1,2,pooled,195,73.1213398416171,59.77807692307694,-20.122313113236533,-0.593951794871795,87.89941676469405,22.183151856585717,25.15897435897436,56,0.06153846153846154,136.29940696530622,135.30326996289924,-66.1792365655344,0.4307692307692308
0.005,1,2,e2122,0,,,,,,,,,,,,,
0.005,1,2,e2324,3,1239.0254303123875,14.539,-178.47993547048912,-0.33333333333333337,1208.5644303123872,984.7511615085651,5.333333333333333,3,0.0,486.58435323551237,437.4008089427301,408.7840168781057,1.0
0.005,1,2,e2526,192,54.9040884280113,60.484937500000015,-17.64797526390446,-0.5980239583333333,70.38902592801135,7.143026705773552,25.46875,53,0.0625,135.63242281496034,138.36848120162608,-75.56389138451956,0.421875
0.005,1,2,pre2025,3,1239.0254303123875,14.539,-178.47993547048912,-0.33333333333333337,1208.5644303123872,984.7511615085651,5.333333333333333,3,0.0,505.1450968150708,429.38738507685747,408.7840168781057,1.0
0.005,1,2,post2025,192,54.9040884280113,60.484937500000015,-17.64797526390446,-0.5980239583333333,70.38902592801135,7.143026705773552,25.46875,53,0.0625,138.8216358426801,131.23615843739873,-75.56389138451956,0.421875
0.005,-1,1,pooled,6236,-135.61231922693747,133.8749917735728,16.383114254689236,0.3952349743425272,-46.73732745336468,-74.95897822433292,9.947241821680564,240,0.0014432328415651058,27.40763920307128,40.09158421853734,-154.5681739670476,0.3099743425272611
0.005,-1,1,e2122,357,-563.9220041104294,99.49392745098041,260.0694780696411,0.6142095238095239,-509.428076659449,-293.7443890659983,13.246498599439775,63,0.0,281.07763345411405,441.59268735258695,-324.648259779732,0.2801120448179272
0.005,-1,1,e2324,627,-144.43324502073014,146.7652438596491,-17.899407697946106,1.1076350877192982,-42.668001161080994,-104.45977377130778,12.312599681020734,100,0.001594896331738437,50.84542634319513,51.48201570319389,-178.1764912410997,0.3094098883572568
0.005,-1,1,e2526,5252,-105.44528229317615,134.67313570068546,3.9115052261981,0.2953018469154608,-15.772146592490683,-56.56533951937712,9.44059405940594,78,0.0015232292460015233,21.49345774699065,23.13859752108635,-148.21973797646137,0.31207159177456206
0.005,-1,1,pre2025,984,-296.62581310510274,129.61497967479676,82.94906000431877,0.9286178861788618,-212.010833430306,-173.13315553980837,12.651422764227643,163,0.0010162601626016261,111.96353373986199,185.69033254762246,-222.7157695767293,0.29878048780487804
0.005,-1,1,post2025,5252,-105.44528229317615,134.67313570068546,3.9115052261981,0.2953018469154608,-15.772146592490683,-56.56533951937712,9.44059405940594,78,0.0015232292460015233,22.048281290347695,23.67719487660121,-148.21973797646137,0.31207159177456206
