symbol,sign,threshold,start,era,age_cell,n_settlements,duration_h,peak_rate8h,sum_rate_raw,resolved
0GUSDT,-1,0.0015,2026-04-02,e2526,age_30_240,1,0.0,-0.0022943,-0.00114715,true
0GUSDT,-1,0.0015,2026-04-02,e2526,age_30_240,1,0.0,-0.00717562,-0.00358781,true
0GUSDT,-1,0.0015,2026-04-03,e2526,age_30_240,1,0.0,-0.00223744,-0.00111872,true
0GUSDT,-1,0.0015,2026-04-03,e2526,age_30_240,1,0.0,-0.0028203,-0.00141015,true
0GUSDT,-1,0.0015,2026-04-08,e2526,age_30_240,1,0.0,-0.00190868,-0.00095434,true
0GUSDT,-1,0.0015,2026-04-09,e2526,age_30_240,1,0.0,-0.00154436,-0.00077218,true
0GUSDT,-1,0.0015,2026-04-12,e2526,age_30_240,5,15.999999166666667,-0.00993714,-0.01392301,true
0GUSDT,-1,0.0015,2026-04-14,e2526,age_30_240,2,3.999998611111111,-0.00305032,-0.0025220399999999997,true
0GUSDT,-1,0.0015,2026-04-14,e2526,age_30_240,2,3.9999975,-0.00177782,-0.00173991,true
0GUSDT,-1,0.0015,2026-04-15,e2526,age_30_240,1,0.0,-0.00166338,-0.00083169,true
0GUSDT,-1,0.0015,2026-04-27,e2526,age_30_240,6,20.00000027777778,-0.00992972,-0.012299319999999999,true
0GUSDT,-1,0.0015,2026-05-27,e2526,age_ge240,2,4.000000833333333,-0.0018377,-0.00180943,true
0GUSDT,-1,0.0015,2026-06-23,e2526,age_ge240,1,0.0,-0.00178164,-0.00089082,true
0GUSDT,-1,0.0015,2026-06-24,e2526,age_ge240,1,0.0,-0.00166544,-0.00083272,true
0GUSDT,-1,0.0015,2026-06-24,e2526,age_ge240,1,0.0,-0.00195294,-0.00097647,true
0GUSDT,-1,0.003,2025-09-22,e2526,age_lt30,29,27.99999861111111,-0.08841784,-0.08873425,true
0GUSDT,-1,0.003,2025-09-23,e2526,age_lt30,22,21.00000027777778,-0.01454968,-0.02154534,true
0GUSDT,-1,0.003,2025-09-24,e2526,age_lt30,3,1.9999994444444444,-0.00324216,-0.0011923300000000001,true
0GUSDT,-1,0.003,2025-09-25,e2526,age_lt30,39,37.99999861111111,-0.02168272,-0.03008992,true
0GUSDT,-1,0.003,2025-09-27,e2526,age_lt30,1,0.0,-0.0033576,-0.0004197,true
0GUSDT,-1,0.003,2025-09-29,e2526,age_lt30,10,9.000001666666666,-0.00861584,-0.00839604,true
0GUSDT,-1,0.003,2025-09-30,e2526,age_lt30,2,1.0,-0.00332936,-0.00082728,true
0GUSDT,-1,0.003,2025-09-30,e2526,age_lt30,19,17.99999972222222,-0.03940504,-0.03077347,true
0GUSDT,-1,0.003,2025-10-01,e2526,age_lt30,1,0.0,-0.00347544,-0.00043443,true
0GUSDT,-1,0.003,2025-10-01,e2526,age_lt30,4,3.0000016666666665,-0.00407608,-0.00188023,true
0GUSDT,-1,0.003,2025-10-03,e2526,age_lt30,7,6.000000833333333,-0.00921872,-0.00397786,true
0GUSDT,-1,0.003,2025-10-03,e2526,age_lt30,1,0.0,-0.00315856,-0.00039482,true
0GUSDT,-1,0.003,2025-10-04,e2526,age_lt30,2,1.0,-0.00380136,-0.00088268,true
