symbol,sign,threshold,persistence,entry,era,age_cell,week_block,hold_h,n_alt_settlements_hold,gross_alt,alt_funding,gross_btc,btc_funding,net_unhedged,net_hedged,capped
0GUSDT,-1,0.0015,2,2025-10-12,e2526,age_lt30,105648,1.0,0,0.003929456892922234,-0.0,-0.005188412696393918,0.0,-0.0005705431070777657,-0.010258955803471683,false
0GUSDT,-1,0.0015,1,2025-10-12,e2526,age_lt30,105648,2.0,2,0.04396718591575266,0.00015032,-0.015440940673436598,-0.00010915,0.039617505915752665,0.019567415242316068,false
0GUSDT,-1,0.0015,2,2025-10-12,e2526,age_lt30,105648,1.0,1,0.012198936502971769,0.00006944,-0.007729912746753387,0.0,0.00776837650297177,-0.004461536243781617,false
0GUSDT,-1,0.0015,1,2025-10-13,e2526,age_lt30,105648,6.0,6,0.035010548049732915,0.0019252,0.000447838916854737,0.0,0.03243574804973292,0.028383586966587653,false
0GUSDT,-1,0.0015,2,2025-10-13,e2526,age_lt30,105648,5.0,4,0.025482522458418533,0.00098614,0.0040609488230513024,0.0,0.021968662458418532,0.021529611281469838,false
0GUSDT,-1,0.0015,1,2025-10-14,e2526,age_lt30,105648,4.0,5,-0.07972428144101984,0.00099183,0.011191642723972106,7.12e-6,-0.08323245144101984,-0.07653368871704773,false
0GUSDT,-1,0.0015,2,2025-10-14,e2526,age_lt30,105648,3.0,3,-0.06976336546888706,0.00032314999999999997,0.0061384777251167755,7.12e-6,-0.07394021546888707,-0.07229461774377029,false
0GUSDT,-1,0.0015,1,2025-10-14,e2526,age_lt30,105648,2.0,2,-0.030501089324618924,0.00035183999999999997,-0.0015121109050146853,0.0,-0.03464924932461892,-0.04066136022963361,false
0GUSDT,-1,0.0015,2,2025-10-14,e2526,age_lt30,105648,1.0,0,-0.01830556207463041,-0.0,0.004497426317899511,0.0,-0.02280556207463041,-0.0228081357567309,false
0GUSDT,-1,0.0015,1,2025-10-15,e2526,age_lt30,105648,1.0,0,0.0034481129847432346,-0.0,0.0030411625755575322,0.0,-0.001051887015256765,-0.0025107244396992325,false
0GUSDT,-1,0.0015,1,2025-10-19,e2526,age_30_240,105649,2.0,3,0.006130866124177903,0.00035324,-0.0029108405426210293,0.0,0.0019841061241779034,-0.0054267344184431255,false
0GUSDT,-1,0.0015,2,2025-10-19,e2526,age_30_240,105649,1.0,2,0.014556286179958411,0.00016432,-0.003981396428915929,0.0,0.010220606179958413,0.0017392097510424837,false
0GUSDT,-1,0.0015,1,2025-10-20,e2526,age_30_240,105649,2.0,3,0.003889032927145264,0.00052938,0.0027531313829959325,0.0,-0.00008158707285473542,-0.0018284556898588026,false
0GUSDT,-1,0.0015,2,2025-10-20,e2526,age_30_240,105649,1.0,2,0.012287581699346406,0.00030659000000000003,-0.0020324522722110494,0.0,0.008094171699346408,0.001561719427135358,false
0GUSDT,-1,0.0015,1,2025-10-21,e2526,age_30_240,105649,92.0,92,-0.12994988700009835,0.07322528,-0.011155310999032997,0.00027566,-0.061224607000098345,-0.07660425799913134,false
