rate_convention,entry_multiple,drain_fraction,era,trades,trades_removed,trades_drained,drain_no_exit_bar,net_return,gross_return,cost_return,funding_return,max_drawdown,worst_day_return,worst_day,per_trade_net_bps,removed_gross_forgone,removed_funding_saved,removed_cost_saved,removed_net_delta,drained_gross_delta,drained_funding_delta
prev,,0.1,early,3984,0,300,24,0.002786217325245477,0.13338988420556724,-0.09772244128032172,-0.0328812256,-0.1126113956178958,-0.04283839059321681,2022-11-10,0.00699351738264427,0.0,-0.0,-0.0,-0.0,-0.1065550820146393,0.0357318763
prev,,0.1,late,12761,0,506,24,-0.30536959358491866,0.03752177471846442,-0.31115054280338306,-0.0317408255,-0.3667781409280525,-0.03945902091344896,2024-03-01,-0.23929910946236085,0.0,-0.0,-0.0,-0.0,-0.0885008242909534,0.0589976928
prev,,0.2,full,16745,0,466,10,-0.2550634924711614,0.2360409287125433,-0.40887298408370476,-0.08223143709999998,-0.4273249830736612,-0.04283839059321681,2022-11-10,-0.15232218123091157,0.0,-0.0,-0.0,-0.0,-0.12992663651708095,0.0771201831
prev,,0.2,early,3984,0,183,10,0.026863872708489778,0.16306462048881148,-0.09772244128032172,-0.0384783065,-0.12297421161798305,-0.04283839059321681,2022-11-10,0.06742939936869924,0.0,-0.0,-0.0,-0.0,-0.07803276200071138,0.030062000400000004
prev,,0.2,late,12761,0,283,10,-0.2819273651796512,0.0729763082237318,-0.31115054280338306,-0.043753130599999995,-0.3554977228611893,-0.03945902091344896,2024-03-01,-0.22092889677897595,0.0,-0.0,-0.0,-0.0,-0.05189387451636965,0.047058182700000006
prev,1.0,,full,16722,23,0,0,-0.19701998513862692,0.3616684493663188,-0.40844553530494565,-0.15024289919999997,-0.39025630514727594,-0.04136256828503173,2022-11-10,-0.11782082594105187,0.0042991158633055235,0.009108721,0.00042744877875916927,0.005237053915453647,0.0,0.0
prev,1.0,,early,3981,3,0,0,0.08340468542834992,0.24777126616771808,-0.09766306583936818,-0.0667035149,-0.10211741641766903,-0.04136256828503173,2022-11-10,0.20950687120911812,-0.00765747126436782,0.0017568917000000002,0.0000593754409535416,0.009473738405321362,0.0,0.0
prev,1.0,,late,12741,20,0,0,-0.28042467056697673,0.11389718319860079,-0.3107824694655774,-0.08353938429999999,-0.3493015131872623,-0.03945902091344896,2024-03-01,-0.22009628017186778,0.011956587127673344,0.0073518292999999995,0.0003680733378056277,-0.004236684489867715,0.0,0.0
prev,1.0,0.02,full,16722,23,1969,34,-0.25649808766701476,0.18641677443793084,-0.40844553530494565,-0.03446932679999999,-0.4028022922531007,-0.03945902091344896,2024-03-01,-0.15338959913109362,0.0042991158633055235,0.009108721,0.00042744877875916927,0.005237053915453647,-0.1752516749283879,0.11577357240000001
prev,1.0,0.02,early,3981,3,692,34,0.001977965912166646,0.12342562495153481,-0.09766306583936818,-0.023784593199999995,-0.10156385420857605,-0.026383547459684704,2022-11-10,0.00496851522774842,-0.00765747126436782,0.0017568917000000002,0.0000593754409535416,0.009473738405321362,-0.12335550287710163,0.04313707959999999
prev,1.0,0.02,late,12741,20,1277,34,-0.25847605357918135,0.06299114948639603,-0.3107824694655774,-0.0106847336,-0.3556188100435147,-0.03945902091344896,2024-03-01,-0.20286951854578242,0.011956587127673344,0.0073518292999999995,0.0003680733378056277,-0.004236684489867715,-0.051896172051286216,0.07263649279999998
prev,1.0,0.05,full,16722,23,1243,22,-0.3025004604794558,0.1527446031254899,-0.40844553530494565,-0.0467995283,-0.42089951555753036,-0.03945902091344896,2024-03-01,-0.18089968931913394,0.0042991158633055235,0.009108721,0.00042744877875916927,0.005237053915453647,-0.2089238462408291,0.10344337090000001
prev,1.0,0.05,early,3981,3,448,22,-0.0005266976109834717,0.12534985072838467,-0.09766306583936818,-0.028213482499999998,-0.10375749599959427,-0.02938730906838831,2022-11-10,-0.0013230284124176631,-0.00765747126436782,0.0017568917000000002,0.0000593754409535416,0.009473738405321362,-0.1214312771002518,0.038708190300000014
prev,1.0,0.05,late,12741,20,795,22,-0.3019737628684722,0.02739475239710512,-0.3107824694655774,-0.018586045799999992,-0.36122295045653163,-0.03945902091344896,2024-03-01,-0.23700946775643372,0.011956587127673344,0.0073518292999999995,0.0003680733378056277,-0.004236684489867715,-0.08749256914057718,0.06473518060000001
prev,1.0,0.1,full,16722,23,787,21,-0.2882216259807438,0.18112715342420185,-0.40844553530494565,-0.0609032441,-0.416888359737968,-0.03945902091344896,2024-03-01,-0.1723607379384905,0.0042991158633055235,0.009108721,0.00042744877875916927,0.005237053915453647,-0.18054129594211704,0.0893396551
