cell,era,trades_kept,trades_removed,trades_downweighted,net_return,gross_return,cost_return,funding_return,max_drawdown,worst_day_return,worst_day,per_trade_net_bps,tp_rate,mean_mae,share_mae_below_10pct,removed_gross_forgone,removed_funding_saved,removed_cost_saved,removed_net_delta
half_K-0.0005,early,3984,0,643,0.07436658515939198,0.2052410740238733,-0.09011591586448134,-0.04075857299999999,-0.09432517222171777,-0.035497404008621364,2022-11-10,0.18666311535991964,0.16390562248995985,-0.08503898484610539,0.24673694779116465,0.03420873007713378,0.02777342675,0.0076065254158403876,0.0011712220887066026
half_K-0.0005,late,12761,0,1171,-0.24697511899045463,0.09492499488796848,-0.2981485943284231,-0.04375151955,-0.30683325000718087,-0.03954966882193132,2024-03-01,-0.1935390008545213,0.1564140741321213,-0.08319517916114233,0.2597758796332576,0.03159276624064876,0.04706810089999999,0.013001948474959972,0.0284772831343112
half_K-0.001,full,16745,0,1305,-0.17271432366157413,0.31416201513547676,-0.39422499024705104,-0.09265134855000001,-0.34953740163861013,-0.04053224822263457,2022-11-10,-0.103143818251164,0.15819647656016722,-0.08363386066898902,0.2566736339205733,0.051805550094147536,0.06670027165,0.014647993836653772,0.029542715392506236
half_K-0.001,early,3984,0,450,0.08236728392318059,0.21864886220598206,-0.09241527503280147,-0.04386630325,-0.09436984025028705,-0.04053224822263457,2022-11-10,0.20674519057023238,0.16390562248995985,-0.08503898484610539,0.24673694779116465,0.02080094189502501,0.0246656965,0.005307166247520248,0.009171920852495234
half_K-0.001,late,12761,0,855,-0.25508160758475473,0.09551315292949472,-0.30180971521424954,-0.0487850453,-0.31632817258779156,-0.03954966882193132,2024-03-01,-0.19989155049349952,0.1564140741321213,-0.08319517916114233,0.2597758796332576,0.031004608199122534,0.04203457515,0.009340827589133521,0.020370794540010995
half_K-0.002,full,16745,0,850,-0.17851591283921564,0.3257832113270855,-0.39951497431630123,-0.10478414984999998,-0.36162933826582877,-0.040638983018606925,2022-11-10,-0.10660848781081854,0.15819647656016722,-0.08363386066898902,0.2566736339205733,0.040184353902538876,0.05456747035000001,0.009358009767403664,0.023741126214864784
half_K-0.002,early,3984,0,268,0.08352558391376431,0.22746933808656036,-0.09459709162279605,-0.049346662549999996,-0.09802626878063836,-0.040638983018606925,2022-11-10,0.20965257006466947,0.16390562248995985,-0.08503898484610539,0.24673694779116465,0.011980466014446724,0.0191853372,0.003125349657525686,0.010330220843078962
half_K-0.002,late,12761,0,582,-0.26204149675297994,0.09831387324052512,-0.3049178826935051,-0.05543748729999999,-0.32050576656159635,-0.03954966882193132,2024-03-01,-0.2053455816573779,0.1564140741321213,-0.08319517916114233,0.2597758796332576,0.028203887888092152,0.03538213315,0.006232660109877976,0.013410905371785818
combo_K-0.0005,full,15234,1511,0,-0.14346789727120324,0.2473784580197043,-0.3747243977909074,-0.016121957499999996,-0.31784265667676637,-0.039640316730413676,2024-03-01,-0.09417611741578262,0.1491400813968754,-0.08071511558797266,0.24917946698175134,0.1185891072099201,0.1432296627,0.03414858629279736,0.05878914178287729
combo_K-0.0005,early,3438,546,0,0.07875844066527327,0.1778969900379675,-0.08483108647269427,-0.014307462900000002,-0.0857249221324774,-0.02179074857464251,2022-11-10,0.22908214271458194,0.14485165794066318,-0.07719885273642677,0.2315299592786504,0.06088882326069638,0.05429613,0.01289135480762746,0.006298661546931061
combo_K-0.0005,late,11796,965,0,-0.22222633793647648,0.06948146798173677,-0.2898933113182131,-0.001814494599999995,-0.2916707012063503,-0.039640316730413676,2024-03-01,-0.18839126647717572,0.1503899626992201,-0.08173994702944559,0.254323499491353,0.0577002839492237,0.0889335327,0.0212572314851699,0.0524904802359462
combo_K-0.001,full,15736,1009,0,-0.12239372426613451,0.30107939058748545,-0.3863413373536198,-0.03713177749999999,-0.3156290386093836,-0.039640316730413676,2024-03-01,-0.07777943839993297,0.1505465175394001,-0.0810965160809723,0.25114387391967463,0.06488817464213896,0.1222198427,0.022531646730084974,0.079863314787946
combo_K-0.001,early,3640,344,0,0.098494980190966,0.21147023418724636,-0.08958871769628034,-0.023386536299999997,-0.09174634288968919,-0.029140475238456066,2022-11-10,0.27059060492023623,0.15027472527472527,-0.07830519356803807,0.23653846153846153,0.027315579111417587,0.0452170566,0.008133723584041387,0.026035201072623804
combo_K-0.001,late,12096,665,0,-0.2208887044571005,0.08960915640023909,-0.2967526196573395,-0.013745241199999994,-0.2817746194080518,-0.039640316730413676,2024-03-01,-0.1826130162509098,0.1506283068783069,-0.0819364973927349,0.25553902116402116,0.03757259553072137,0.0770027861,0.014397923146043582,0.0538281137153222
combo_K-0.002,full,16159,586,0,-0.17842107207435945,0.2843312176228392,-0.39616383639719865,-0.06658845329999999,-0.36513040268265184,-0.03945902091344896,2024-03-01,-0.11041591192175225,0.1521133733523114,-0.08177070653573322,0.25335726220681976,0.08163634760678518,0.0927631669,0.012709147686506108,0.023835966979720933
combo_K-0.002,early,3810,174,0,0.08818694790554225,0.2190004229497614,-0.09365238704421915,-0.037161088,-0.1049482477132373,-0.029148949791477412,2022-11-10,0.23146180552635762,0.15511811023622046,-0.0800421656276634,0.24068241469816273,0.020906367041466357,0.0313435417,0.004070054236102586,0.014507228894636227
combo_K-0.002,late,12349,412,0,-0.2666080199799017,0.0653307946730778,-0.3025114493529795,-0.029427365299999998,-0.3171690752278794,-0.03945902091344896,2024-03-01,-0.21589442058458314,0.1511863308769941,-0.0823040080872553,0.25726779496315494,0.06072998056531881,0.0614196252,0.008639093450403522,0.0093287380850847
