side,entry_day,pump_cell,fund_cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45
long,1,pump_le0,fund_pos,e2122,11,8,1310.819181516569,-95.06943636363634,1170.749745152933,1125.7497451529325,1962.8967188705049,-1146.469304171634,0.36363636363636365
long,1,pump_le0,fund_pos,e2324,25,18,-123.72455885637261,-81.41038,-250.13493885637263,-295.13493885637274,967.9540271518853,-1756.8728665766535,0.32
long,1,pump_le0,fund_pos,e2526,13,10,-837.0464424900252,-88.49643846153846,-970.5428809515636,-1015.5428809515638,512.8954307906724,-636.3139164360821,0.38461538461538464
long,1,pump_le0,fund_pos,pre2025,36,26,314.60825070202617,-85.58398055555557,184.0242701464707,139.0242701464706,911.5403690577601,-1511.01977286772,0.3333333333333333
long,1,pump_le0,fund_pos,post2025,13,10,-837.0464424900252,-88.49643846153846,-970.5428809515636,-1015.5428809515638,511.3059725158214,-636.3139164360821,0.38461538461538464
long,2,pump_le0,fund_pos,pooled,54,37,-18.48070092781923,-64.3949462962963,-127.87564722411553,-172.87564722411548,584.4939123206128,-961.4766608640091,0.25925925925925924
long,2,pump_le0,fund_pos,e2122,11,7,1369.7625937000823,-93.26990909090908,1231.4926846091735,1186.4926846091732,1874.8201441519088,-644.2618,0.36363636363636365
long,2,pump_le0,fund_pos,e2324,27,17,-1295.8383942486212,-68.01911481481483,-1408.8575090634358,-1453.8575090634358,465.259797240621,-1297.313116607773,0.1111111111111111
long,2,pump_le0,fund_pos,e2526,16,13,1182.6431414943515,-38.427625,1099.2155164943515,1054.2155164943515,1259.246721318907,-208.63343690753183,0.4375
long,2,pump_le0,fund_pos,pre2025,38,24,-524.2170556318912,-75.32855526315788,-644.545610895049,-689.5456108950493,632.3939608218941,-1224.343148455991,0.18421052631578946
long,2,pump_le0,fund_pos,post2025,16,13,1182.6431414943515,-38.427625,1099.2155164943515,1054.2155164943515,1249.455841956345,-208.63343690753183,0.4375
short,1,pump_le0,fund_none,pooled,0,,,,,,,,
short,1,pump_le0,fund_none,e2122,0,,,,,,,,
short,1,pump_le0,fund_none,e2324,0,,,,,,,,
short,1,pump_le0,fund_none,e2526,0,,,,,,,,
short,1,pump_le0,fund_none,pre2025,0,,,,,,,,
short,1,pump_le0,fund_none,post2025,0,,,,,,,,
short,2,pump_le0,fund_none,pooled,0,,,,,,,,
short,2,pump_le0,fund_none,e2122,0,,,,,,,,
short,2,pump_le0,fund_none,e2324,0,,,,,,,,
short,2,pump_le0,fund_none,e2526,0,,,,,,,,
short,2,pump_le0,fund_none,pre2025,0,,,,,,,,
short,2,pump_le0,fund_none,post2025,0,,,,,,,,
long,1,pump_le0,fund_none,pooled,0,,,,,,,,
long,1,pump_le0,fund_none,e2122,0,,,,,,,,
long,1,pump_le0,fund_none,e2324,0,,,,,,,,
long,1,pump_le0,fund_none,e2526,0,,,,,,,,
long,1,pump_le0,fund_none,pre2025,0,,,,,,,,
long,1,pump_le0,fund_none,post2025,0,,,,,,,,
long,2,pump_le0,fund_none,pooled,0,,,,,,,,
long,2,pump_le0,fund_none,e2122,0,,,,,,,,
long,2,pump_le0,fund_none,e2324,0,,,,,,,,
