side,entry_day,cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45,feature
long,2,pump_le0,e2526,208,71,98.68403821305698,52.60704326923077,106.29108148228791,61.29108148228783,645.7796822404964,-945.3143689653698,0.27884615384615385,pump_cell
long,2,pump_le0,pre2025,265,122,-150.34579254119265,10.796940377358494,-184.5488521638342,-229.54885216383417,199.09520866001535,-514.9254847925918,0.35471698113207545,pump_cell
long,2,pump_le0,post2025,208,71,98.68403821305698,52.60704326923077,106.29108148228791,61.29108148228783,648.9349602074961,-945.3143689653698,0.27884615384615385,pump_cell
long,2,pump_0_25,pooled,320,146,-191.60478428632211,22.3055790625,-214.29920522382213,-259.29920522382207,157.89782980824515,-430.896076698395,0.3625,pump_cell
long,2,pump_0_25,e2122,84,28,-330.20189251540705,-38.23685119047619,-413.4387437058833,-458.4387437058833,267.3432561276927,-695.8499572333307,0.32142857142857145,pump_cell
long,2,pump_0_25,e2324,123,66,-359.7527537074868,4.160699186991871,-400.5920545204949,-445.59205452049497,216.36937636803685,-604.7823730360926,0.3170731707317073,pump_cell
long,2,pump_0_25,e2526,113,52,94.45147527161068,87.06119292035399,136.51266819196462,91.51266819196455,311.6026614688291,-153.49273901570086,0.4424778761061947,pump_cell
long,2,pump_0_25,pre2025,207,94,-347.761099890411,-13.044103864734298,-405.8052037551454,-450.8052037551453,162.1712280618119,-636.5000619901309,0.3188405797101449,pump_cell
long,2,pump_0_25,post2025,113,52,94.45147527161068,87.06119292035399,136.51266819196462,91.51266819196455,320.510115357093,-153.49273901570086,0.4424778761061947,pump_cell
long,2,pump_25_100,pooled,77,62,177.6258532501652,180.10456883116888,312.73042208133387,267.730422081334,531.037178436717,-660.0801284401666,0.42857142857142855,pump_cell
long,2,pump_25_100,e2122,7,6,-291.21918541884224,-77.07784285714285,-413.29702827598504,-458.2970282759851,418.8283064933949,276.59922815881043,0.5714285714285714,pump_cell
long,2,pump_25_100,e2324,33,28,-581.903906985344,68.88021818181818,-558.0236888035258,-603.0236888035258,559.3529344800877,-1157.029981948041,0.3333333333333333,pump_cell
long,2,pump_25_100,e2526,37,29,943.744700775972,327.96079729729735,1226.705498073269,1181.7054980732692,961.7439226056055,-47.254911461317405,0.4864864864864865,pump_cell
long,2,pump_25_100,pre2025,40,34,-531.0340807112061,43.3375575,-532.6965232112063,-577.6965232112062,457.0149047667012,-999.664164525163,0.375,pump_cell
long,2,pump_25_100,post2025,37,29,943.744700775972,327.96079729729735,1226.705498073269,1181.7054980732692,966.5570938534197,-47.254911461317405,0.4864864864864865,pump_cell
long,2,pump_gt100,pooled,9,8,-254.0601659384629,42.900244444444446,-256.1599214940184,-301.1599214940185,942.6535475481295,-1367.9863299212598,0.4444444444444444,pump_cell
long,2,pump_gt100,e2122,0,,,,,,,,,pump_cell
long,2,pump_gt100,e2324,3,3,-2743.946831895705,-22.542499999999997,-2811.4893318957047,-2856.4893318957047,880.0525867954372,-2142.6901310584285,0.0,pump_cell
long,2,pump_gt100,e2526,6,5,990.883167040158,75.62161666666667,1021.5047837068247,976.5047837068247,965.6594849221655,2030.538440372789,0.6666666666666666,pump_cell
long,2,pump_gt100,pre2025,3,3,-2743.946831895705,-22.542499999999997,-2811.4893318957047,-2856.4893318957047,873.3817728681199,-2142.6901310584285,0.0,pump_cell
long,2,pump_gt100,post2025,6,5,990.883167040158,75.62161666666667,1021.5047837068247,976.5047837068247,982.5976591381619,2030.538440372789,0.6666666666666666,pump_cell
short,1,tdec_lt30,pooled,117,84,492.7622764466722,-23.425052991453,424.33722345521903,379.337223455219,269.65333883171843,605.087652750102,0.6239316239316239,tdecay_cell
short,1,tdec_lt30,e2122,4,4,365.68268550236473,8.3293,329.01198550236484,284.01198550236484,333.339477307664,343.15127177131046,0.75,tdecay_cell
short,1,tdec_lt30,e2324,55,39,188.48502108833887,18.50416727272727,161.98918836106617,116.98918836106614,257.9974017890463,599.5985840948626,0.5818181818181818,tdecay_cell
short,1,tdec_lt30,e2526,58,41,790.0651627998715,-65.37547586206897,679.6896869378023,634.6896869378021,484.4341761805077,942.3474316524095,0.6551724137931034,tdecay_cell
short,1,tdec_lt30,pre2025,59,43,200.49842206556096,17.81434576271186,173.3127678282728,128.31276782827283,234.87535355465914,515.8850589147291,0.5932203389830508,tdecay_cell
short,1,tdec_lt30,post2025,58,41,790.0651627998715,-65.37547586206897,679.6896869378023,634.6896869378021,481.63257046251607,942.3474316524095,0.6551724137931034,tdecay_cell
short,1,tdec_30_70,pooled,364,165,100.89294266717332,-75.7131585164835,-19.820215849310408,-64.8202158493103,436.7647400327855,633.7179229446045,0.6208791208791209,tdecay_cell
short,1,tdec_30_70,e2122,47,30,13.750724934593457,-25.935457446808513,-57.18473251221506,-102.18473251221506,346.3513294492805,-130.14274577138107,0.44680851063829785,tdecay_cell
short,1,tdec_30_70,e2324,152,71,432.41137579829063,-9.720611184210524,377.6907646140802,332.6907646140802,245.34445629407773,638.1265330304894,0.6447368421052632,tdecay_cell
short,1,tdec_30_70,e2526,165,65,-179.68352765100008,-150.68539575757575,-375.3689234085759,-420.36892340857605,914.9882045737444,866.8288255605385,0.6484848484848484,tdecay_cell
short,1,tdec_30_70,pre2025,199,101,333.5317245892768,-13.55024824120603,274.9814763480707,229.98147634807071,212.04240703859068,486.47076122517535,0.5979899497487438,tdecay_cell
short,1,tdec_30_70,post2025,165,65,-179.68352765100008,-150.68539575757575,-375.3689234085759,-420.36892340857605,920.656961830172,866.8288255605385,0.6484848484848484,tdecay_cell
short,1,tdec_ge70,pooled,398,175,152.6289781461016,-38.946488190954774,68.68248995514688,23.682489955146867,211.84424965796043,621.9861700920516,0.6407035175879398,tdecay_cell
