surface,member,era,trades_kept,trades_removed,trades_downweighted,net_return,gross_return,cost_return,funding_return,max_drawdown,worst_day_return,worst_day,per_trade_net_bps,tp_rate,mean_mae,share_mae_below_10pct,removed_gross_forgone,removed_funding_saved,removed_cost_saved,removed_net_delta,es95_daily,es99_daily,registered_tail_days_in_window,registered_tail_negative_days,registered_tail_sum_return,native_tail_days,native_tail_sum_return,native_tail_worst
barebones,binary_ramp,early,1943,2041,1,0.015672476794834873,0.07615575168908201,-0.04753265093617105,-0.01295062395807606,-0.07670244035775364,-0.017035452082099094,2023-01-20,0.08066122900069414,0.14565105506948017,-0.077996280152707,0.2465259907359753,0.16395804321426816,0.05550978264192394,0.05018979034415068,-0.05825847022819358,-0.00857332082909128,-0.01356944917163029,58,29,-0.05371252182505003,15,-0.13902296006460035,-0.017035452082099094
barebones,binary_ramp,late,8533,4228,44,-0.1505637522709222,0.07252049126345646,-0.20705007563279537,-0.01603416790158329,-0.3268466050115675,-0.03945902091344896,2024-03-01,-0.1764487897233355,0.16606117426461972,-0.08715151057783367,0.27165123637642097,0.053333279062817616,0.07485704569841671,0.10410046717058773,0.12562423380618679,-0.020524542507589304,-0.03263193352004681,98,53,-0.22231887490081984,80,-0.9877108564229727,-0.03945902091344896
barebones,linear10,full,10476,6269,4429,-0.13498235658175747,0.07339247026043089,-0.200095580667866,-0.008279246174322364,-0.30816910005088793,-0.03945902091344896,2024-03-01,-0.1288491376305436,0.16227567773959525,-0.08545347576339866,0.26699121802214587,0.29257509496919337,0.15107237402567764,0.2087774034158388,0.06727468247232304,-0.01459572205641082,-0.025460502272009036,156,80,-0.1884970544707284,95,-0.934736054602052,-0.03945902091344896
barebones,linear10,early,1943,2041,922,0.0034847182959172702,0.04370418624677754,-0.03519298901503978,-0.00502647893582048,-0.06093641385421644,-0.017035452082099094,2023-01-20,0.017934731322271073,0.14565105506948017,-0.077996280152707,0.2465259907359753,0.19633806582242386,0.06344101182928097,0.06252945226528195,-0.07036760172786101,-0.0068872046702338355,-0.011732196254789502,58,28,-0.04038924225597687,15,-0.09246027662337918,-0.017035452082099094
barebones,linear10,late,8533,4228,3507,-0.13846707487767473,0.029688284013653355,-0.16490259165282622,-0.003252767238501884,-0.2911200821964153,-0.03945902091344896,2024-03-01,-0.16227244213954617,0.16606117426461972,-0.08715151057783367,0.27165123637642097,0.09623702914676945,0.08763136219639667,0.14624795115055686,0.13764228420018404,-0.018497580870648716,-0.03092589044341602,98,52,-0.14810781221475153,80,-0.8422757779786729,-0.03945902091344896
barebones,linear10_discrete35,full,10476,6269,4450,-0.12388504861661678,0.08403502559432696,-0.19954629432664928,-0.008373779884294472,-0.30333438942618407,-0.03945902091344896,2024-03-01,-0.11825606015331881,0.16227567773959525,-0.08545347576339866,0.26699121802214587,0.2819325396352973,0.15097784031570552,0.20932668975705554,0.0783719904374637,-0.014372494685698877,-0.02499342186187628,156,80,-0.1884970544707284,95,-0.9192930644394252,-0.03945902091344896
barebones,linear10_discrete35,early,1943,2041,922,0.003494819258371615,0.04371394930198293,-0.0351924765274804,-0.005026653516130904,-0.06093641385421633,-0.017035452082099094,2023-01-20,0.017986717747666574,0.14565105506948017,-0.077996280152707,0.2465259907359753,0.19632830276721847,0.06344083724897055,0.06252996475284132,-0.07035750076540666,-0.0068872046702338355,-0.011732196254789502,58,28,-0.04038924225597687,15,-0.09246027662337918,-0.017035452082099094
barebones,linear10_discrete35,late,8533,4228,3528,-0.1273798678749884,0.04032107629234404,-0.16435381779916888,-0.003347126368163569,-0.2862853715717115,-0.03945902091344896,2024-03-01,-0.149279113881388,0.16606117426461972,-0.08715151057783367,0.27165123637642097,0.08560423686807879,0.08753700306673498,0.1467967250042142,0.14872949120287035,-0.01814895585311264,-0.03082884458227624,98,52,-0.14810781221475153,80,-0.8268327878160461,-0.03945902091344896
barebones,linear10_ramp,full,10476,6269,4450,-0.13440369472408092,0.07387768853950497,-0.19998250631881725,-0.008298876944768736,-0.3075906353961445,-0.03945902091344896,2024-03-01,-0.12829676854150526,0.16227567773959525,-0.08545347576339866,0.26699121802214587,0.2920898766901193,0.15105274325523127,0.2088904777648876,0.06785334432999954,-0.014568046597657508,-0.0253128998253247,156,80,-0.1884970544707284,95,-0.93296482524184,-0.03945902091344896
barebones,linear10_ramp,early,1943,2041,922,0.0034849154988503992,0.04370437685268579,-0.03519297900965165,-0.005026482344183736,-0.06093641385421644,-0.017035452082099094,2023-01-20,0.01793574626274009,0.14565105506948017,-0.077996280152707,0.2465259907359753,0.19633787521651563,0.06344100842091771,0.06252946227067008,-0.07036740452492786,-0.0068872046702338355,-0.011732196254789502,58,28,-0.04038924225597687,15,-0.09246027662337918,-0.017035452082099094
