axis,rule,arm_pct,retain_frac,era,trades,unchanged,adaptive_exits,forfeited_tp_n,forfeited_tp_net_delta,captured_n,captured_net_delta,net_return,gross_return,cost_return,funding_return,max_drawdown,worst_day_return,worst_day,per_trade_net_bps,tp_rate,mean_mae,p10_mae,baseline_mean_mae,changed_partial_funding
full,giveback,0.06,0.7,full,16745,11255,5490,1255,-0.9501852498517072,4235,0.9423692558418836,-0.21007303306390376,0.32051819421980104,-0.40887298408370476,-0.12171824319999999,-0.37447658101797665,-0.03602922376568555,2023-12-23,-0.1254541851680524,0.083248730964467,-0.07514929435263543,-0.1739773950484393,-0.08363386066898898,4
full,giveback,0.06,0.7,early,3984,2646,1338,304,-0.22937140759898478,1034,0.2248283719416425,0.06950276282991763,0.21825298951023933,-0.09772244128032173,-0.051027785400000004,-0.09792515018874948,-0.03535263843422342,2022-11-10,0.1744547259787089,0.08760040160642571,-0.07574536753130316,-0.1659164859002169,-0.08503898484610539,4
full,giveback,0.06,0.7,late,12761,8609,4152,951,-0.720813842252722,3201,0.7175408839002413,-0.27957579589382137,0.10226520470956171,-0.31115054280338306,-0.0706904578,-0.31058024532139283,-0.03602922376568555,2023-12-23,-0.219086118559534,0.08189013400203746,-0.07496319956822883,-0.17630979498861032,-0.08319517916114234,4
full,giveback,0.08,0.5,full,16745,14739,2006,398,-0.3464669797104831,1608,0.34825632880522256,-0.20046768995934108,0.3479456419243637,-0.40887298408370476,-0.1395403478,-0.3731412801169446,-0.03795200672411985,2023-12-23,-0.11971793965920638,0.13442818751866228,-0.08003875761982024,-0.1852615305333678,-0.08363386066898898,3
full,giveback,0.08,0.5,early,3984,3507,477,91,-0.07971240699895234,386,0.08961012475518282,0.08429006527816761,0.24052419735848932,-0.09772244128032173,-0.058511690799999995,-0.09543199297359917,-0.03748908717453285,2022-11-10,0.21157144899138455,0.14106425702811246,-0.08112076145180316,-0.1776842105263157,-0.08503898484610539,3
full,giveback,0.08,0.5,late,12761,11232,1529,307,-0.26675457271153086,1222,0.2586462040500397,-0.2847577552375087,0.10742144456587441,-0.31115054280338306,-0.081028657,-0.3272636012155734,-0.03795200672411985,2023-12-23,-0.22314689698104276,0.1323563984013792,-0.07970095468379487,-0.1871552403467298,-0.08319517916114234,3
full,giveback,0.08,0.7,full,16745,13714,3031,809,-0.5332657927841454,2222,0.545226439813477,-0.19029639202474882,0.35593110525895594,-0.40887298408370476,-0.1373545132,-0.3513902049616686,-0.03738614548817696,2023-12-23,-0.11364370977888852,0.10988354732756046,-0.07987882179569306,-0.18480283077372062,-0.08363386066898898,3
full,giveback,0.08,0.7,early,3984,3233,751,195,-0.12885573159231323,556,0.13183174423614408,0.07713881618107227,0.23222728906139398,-0.09772244128032173,-0.0573660316,-0.09170696488287788,-0.03685181583307605,2022-11-10,0.19362152655891632,0.11495983935742972,-0.08099028569965044,-0.1776842105263157,-0.08503898484610539,3
full,giveback,0.08,0.7,late,12761,10481,2280,614,-0.40441006119183226,1666,0.41339469557733294,-0.2674352082058211,0.12370381619756195,-0.31115054280338306,-0.0799884816,-0.3086429712798482,-0.03738614548817696,2023-12-23,-0.20957229700322946,0.1082987226706371,-0.0795318213887213,-0.1867935752528258,-0.08319517916114234,3
full,breakeven,0.04,,full,16745,12772,3973,383,-0.5242752686291693,3590,0.4759301210410913,-0.25060218664215844,0.2746470249415463,-0.40887298408370476,-0.1163762275,-0.3888403426514302,-0.03798364116022423,2023-12-23,-0.14965791976241175,0.1353239773066587,-0.06992725159517675,-0.15824500862706437,-0.08363386066898898,4
full,breakeven,0.04,,early,3984,3070,914,102,-0.14396336316499833,812,0.11899064000817217,0.0493894576657112,0.1963734066460329,-0.09772244128032173,-0.0492615077,-0.09002530792370633,-0.037979854922340156,2022-11-10,0.12396952225329116,0.13830321285140562,-0.07079510753742504,-0.15005216731480608,-0.08503898484610539,4
full,breakeven,0.04,,late,12761,9702,3059,281,-0.3803119054641709,2778,0.3569394810329191,-0.2999916443078696,0.07827361829551341,-0.31115054280338306,-0.0671147198,-0.33652443266391807,-0.03798364116022423,2023-12-23,-0.23508474595084214,0.13439385628085573,-0.06965630589547316,-0.1606475716064757,-0.08319517916114234,4
full,breakeven,0.06,,full,16745,14907,1838,188,-0.259291119179594,1650,0.2253993922408729,-0.23614876599280146,0.3058227365909032,-0.40887298408370476,-0.13309851849999998,-0.4113473613375629,-0.03896923111593509,2022-11-10,-0.14102643534953804,0.1469692445506121,-0.07703569218592415,-0.1750421901368837,-0.08363386066898898,2
full,breakeven,0.06,,early,3984,3568,416,49,-0.07057549277973817,367,0.07400031463241113,0.07778700267521042,0.2322855555555321,-0.09772244128032173,-0.0567761116,-0.10120309846539799,-0.03896923111593509,2022-11-10,0.1952485006907892,0.15160642570281124,-0.07766637036851433,-0.16821192052980138,-0.08503898484610539,2
full,breakeven,0.06,,late,12761,11339,1422,139,-0.18871562639985587,1283,0.15139907760846172,-0.31393576866801187,0.07353718103537106,-0.31115054280338306,-0.0763224069,-0.35559474435465765,-0.03748566408450696,2023-12-23,-0.24601188673929306,0.1455215108533814,-0.07683879367644694,-0.17755961627776617,-0.08319517916114234,2
full,breakeven,0.08,,full,16745,15919,826,99,-0.13886120503791605,727,0.1049880301821016,-0.23613021390989483,0.31770342707380983,-0.40887298408370476,-0.14496065689999998,-0.39758225292784455,-0.0396290203105789,2022-11-10,-0.14101535617192884,0.15228426395939088,-0.08083639956668016,-0.18561643835616448,-0.08363386066898898,1
full,breakeven,0.08,,early,3984,3793,191,27,-0.04040155714141968,164,0.03897772709715339,0.0725071169787622,0.23176992805908397,-0.09772244128032173,-0.0615403698,-0.09783432359896382,-0.0396290203105789,2022-11-10,0.1819957755491019,0.1571285140562249,-0.08192878917500306,-0.17843137254901964,-0.08503898484610539,1
full,breakeven,0.08,,late,12761,12126,635,72,-0.09845964789649636,563,0.06601030308494822,-0.3086373308886571,0.08593349901472593,-0.31115054280338306,-0.08342028709999999,-0.3532784593471736,-0.03763950818478092,2024-11-06,-0.2418598314306536,0.1507718830812632,-0.08049535417842232,-0.18802079036383135,-0.08319517916114234,1
