symbol,d0,era,pump01,crowd7d,d0_bars,funding_events_d0_d7
COCOSUSDT,2023-02-22,e2324,0.03733333333333322,5,24,24
COHRUSDT,2026-05-27,e2526,-0.009817197020988488,6,24,0
COINUSDT,2026-02-10,e2526,-0.09267563527653211,5,24,24
COLLECTUSDT,2026-01-01,e2526,-0.08263500931098688,2,24,48
COMBOUSDT,2023-06-03,e2324,-0.18538580588105236,0,24,24
COMMONUSDT,2025-10-28,e2526,-0.272776898302309,5,24,48
COOKIEUSDT,2025-01-08,e2526,-0.27433206106870234,6,24,48
COPPERUSDT,2026-03-07,e2526,-0.011978097193703019,2,24,48
COSTUSDT,2026-06-10,e2526,0.005933984423291072,20,24,18
COSUSDT,2024-10-01,e2324,-0.13789632611977864,3,24,48
COWUSDT,2024-11-07,e2324,-0.12693557637163067,3,24,48
CRCLUSDT,2026-02-10,e2526,-0.027231467473525006,5,24,24
CRDOUSDT,2026-06-09,e2526,0.044699011680143785,15,24,15
CRMUSDT,2026-06-04,e2526,-0.012839717526214267,18,24,0
CROSSUSDT,2025-07-11,e2526,-0.0717906044330131,5,24,48
CRWDUSDT,2026-06-09,e2526,-0.026178488310186876,15,24,15
CRWVUSDT,2026-05-19,e2526,-0.025144508670520205,17,24,0
CSCOUSDT,2026-05-16,e2526,0.008627981728979828,9,24,0
CTRUSDT,2026-05-29,e2526,-0.02389277389277389,6,24,0
CTSIUSDT,2021-10-26,e2122,-0.159636754689927,1,21,23
CUDISUSDT,2025-08-21,e2526,0.22623912815676417,3,24,48
CUSDT,2025-07-16,e2526,-0.2927799607072691,5,24,48
CVXUSDT,2022-09-23,e2122,-0.005260942760942688,1,24,24
CYBERUSDT,2023-08-22,e2324,-0.15985282093213404,1,24,24
CYSUSDT,2025-12-13,e2526,0.09629125552909157,5,24,48
DAMUSDT,2025-08-19,e2526,-0.298415676464457,3,24,48
DARUSDT,2022-04-29,e2122,-0.39193548387096777,0,21,23
DEEPUSDT,2025-04-23,e2526,-0.04125913434513784,4,24,48
DEGENUSDT,2024-11-16,e2324,-0.042486889108459436,4,24,48
DEGOUSDT,2024-12-14,e2324,-0.14095437578882364,8,24,48
DELLUSDT,2026-06-04,e2526,-0.04721367941936272,18,24,0
DEXEUSDT,2024-12-25,e2324,-0.08981506663040517,7,24,48
DFUSDT,2024-12-31,e2324,-0.058760683760683774,2,24,48
DIAUSDT,2024-10-03,e2324,0.16560130816114182,4,24,48
DISUSDT,2026-05-16,e2526,-0.0012522878335420318,9,24,0
DKNGUSDT,2026-06-11,e2526,0.007263922518159882,20,24,21
DMCUSDT,2025-06-25,e2526,-0.5242599189288786,3,24,48
DODOXUSDT,2023-08-09,e2324,-0.11934477379095165,1,24,24
DOGSUSDT,2024-08-27,e2324,0.2096430910281597,7,24,48
DOLOUSDT,2025-05-01,e2526,0.34891666666666654,7,21,48
DOODUSDT,2025-05-10,e2526,-0.19885382781581384,6,24,48
DRAMUSDT,2026-05-19,e2526,0.03896364731873869,17,24,0
DRIFTUSDT,2024-11-09,e2324,0.27282499641679814,6,24,48
DUSDT,2025-01-10,e2526,-0.11937086092715232,5,24,48
DUSKUSDT,2022-01-07,e2122,-0.15240706071142018,0,21,24
DYDXUSDT,2021-09-10,e2122,-0.17524297445942894,0,21,24
DYMUSDT,2024-02-08,e2324,0.2757718472004187,2,24,48
EBAYUSDT,2026-06-10,e2526,0.011325966850828761,20,24,18
EDENUSDT,2025-10-01,e2526,-0.04837092731829584,10,24,48
EDGEUSDT,2026-03-20,e2526,0.1047679795885823,3,24,48
EDUUSDT,2023-05-01,e2324,-0.08679661640308933,1,24,24
EIGENUSDT,2024-10-02,e2324,-0.16554642768235017,3,24,48
ELSAUSDT,2026-01-23,e2526,-0.13880291970802927,4,24,98
ENAUSDT,2024-04-03,e2324,0.25777202072538863,0,24,48
ENSOUSDT,2025-10-15,e2526,-0.26374680306905374,7,24,48
ENSUSDT,2021-11-30,e2122,-0.0849117854622441,0,21,24
EPICUSDT,2025-03-14,e2526,0.06843749999999993,1,24,48
EPTUSDT,2025-04-22,e2526,-0.10600706713780916,3,24,48
ERAUSDT,2025-07-18,e2526,-0.27181526771933995,3,24,129
ESPORTSUSDT,2025-07-30,e2526,0.032488114104595844,4,24,48
ESPUSDT,2026-02-11,e2526,-0.09708860759493665,7,24,48
ETHFIUSDT,2024-03-19,e2324,0.3483829650976624,4,24,48
ETHWUSDT,2023-11-29,e2324,-0.0847628657921291,5,24,48
EULUSDT,2025-10-14,e2526,-0.1399237933954277,6,24,48
EVAAUSDT,2025-10-04,e2526,-0.47914508716901305,8,24,48
EWJUSDT,2026-03-20,e2526,-0.02423454309019979,3,24,24
EWTUSDT,2026-06-02,e2526,-0.030728061271569573,18,24,0
EWYUSDT,2026-03-17,e2526,-0.014646540128530727,2,24,24
EWZUSDT,2026-06-11,e2526,0.046373365041617154,20,24,21
FARTCOINUSDT,2024-12-21,e2324,-0.33848341232227486,8,24,48
FETUSDT,2023-01-17,e2324,0.10243902439024377,0,22,24
FFUSDT,2025-09-30,e2526,-0.2918163388697229,9,24,48
FHEUSDT,2025-04-13,e2526,-0.29153169828782965,5,24,48
FIDAUSDT,2024-09-20,e2324,-0.05273833671399597,5,24,48
