symbol,sign,threshold,persistence,entry,era,age_cell,week_block,hold_h,n_alt_settlements_hold,gross_alt,alt_funding,gross_btc,btc_funding,net_unhedged,net_hedged,capped
0GUSDT,-1,0.0015,2,2025-10-03,e2526,age_lt30,105646,1.0,1,-0.01813092831596952,-0.0000125,-0.0021968059995303157,0.0,-0.022643428315969518,-0.029340234315499834,false
0GUSDT,-1,0.0015,1,2025-10-04,e2526,age_lt30,105646,1.0,1,0.00015926102882635185,-0.0000125,0.001990873116658576,0.0,-0.004353238971173648,-0.006862365854515072,false
0GUSDT,-1,0.0015,1,2025-10-04,e2526,age_lt30,105646,24.0,24,-0.002041555533603412,0.01444305,-0.006415983638383471,0.00024757,0.00790149446639659,-0.002766919171986882,false
0GUSDT,-1,0.0015,2,2025-10-04,e2526,age_lt30,105646,23.0,23,0.01554803471500854,0.01395512,-0.009726573392162985,0.00024757,0.02500315471500854,0.011024151322845557,false
0GUSDT,-1,0.0015,1,2025-10-05,e2526,age_lt30,105647,21.0,21,0.021412209939249083,0.015837610000000002,-0.009657824976825102,0.00027282,0.03274981993924909,0.01886481496242398,false
0GUSDT,-1,0.0015,2,2025-10-05,e2526,age_lt30,105647,20.0,20,0.029305499799277435,0.0155947,-0.011507652352567899,0.00019618,0.04040019979927744,0.024588727446709535,false
0GUSDT,-1,0.0015,1,2025-10-06,e2526,age_lt30,105647,1.0,1,0.0024590970195743633,0.00034817,-0.003849256340707763,0.0000758,-0.0016927329804256363,-0.009966189321133398,false
0GUSDT,-1,0.0015,1,2025-10-06,e2526,age_lt30,105647,3.0,3,-0.004588509062305346,0.00071159,0.0006474731800980571,0.0,-0.008376919062305345,-0.012229445882207288,false
0GUSDT,-1,0.0015,2,2025-10-06,e2526,age_lt30,105647,2.0,2,0.0013187827635092741,0.00049501,-0.0007154275238381302,0.0,-0.0026862072364907254,-0.007901634760328855,false
0GUSDT,-1,0.0015,1,2025-10-06,e2526,age_lt30,105647,8.0,8,-0.017197243190023026,0.00248686,0.005725587342176763,2.46e-6,-0.019210383190023026,-0.01798233584784626,false
0GUSDT,-1,0.0015,2,2025-10-06,e2526,age_lt30,105647,7.0,7,-0.01980295244018193,0.00214657,0.004967823506314084,2.46e-6,-0.02215638244018193,-0.021686098933867845,false
0GUSDT,-1,0.0015,1,2025-10-07,e2526,age_lt30,105647,1.0,1,-0.009760842585449292,0.00017786,0.003959528041630134,0.0,-0.01408298258544929,-0.014623454543819157,false
0GUSDT,-1,0.0015,1,2025-10-07,e2526,age_lt30,105647,1.0,1,0.010810625300295085,0.00001592,-0.0018513582281241003,0.0,0.006326545300295086,-0.000024812927829014064,false
0GUSDT,-1,0.0015,1,2025-10-10,e2526,age_lt30,105647,1.0,1,-0.015226656334753952,0.00015346,0.0008265576421252474,0.0,-0.01957319633475395,-0.023246638692628704,false
0GUSDT,-1,0.0015,1,2025-10-10,e2526,age_lt30,105647,2.0,2,-0.00853653868238713,0.00031832,-0.004484234519019248,0.0,-0.01271821868238713,-0.021702453201406374,false
0GUSDT,-1,0.0015,2,2025-10-10,e2526,age_lt30,105647,1.0,1,0.0017792217838632496,0.00014098,-0.0027555414020095093,0.0,-0.0025797982161367503,-0.009835339618146258,false
0GUSDT,-1,0.0015,1,2025-10-10,e2526,age_lt30,105647,2.0,2,0.001957727585831792,0.00013319,-0.0008551707790038776,0.0,-0.0024090824141682074,-0.007764253193172085,false
0GUSDT,-1,0.0015,2,2025-10-10,e2526,age_lt30,105647,1.0,1,0.01175135451749898,-0.0000125,-0.0003940693792461314,0.0,0.00723885451749898,0.0023447851382528487,false
0GUSDT,-1,0.0015,1,2025-10-10,e2526,age_lt30,105647,3.0,3,-0.04523850674040775,0.00305432,0.006539014085253592,-0.00014131,-0.046684186740407745,-0.044786482655154156,false
0GUSDT,-1,0.0015,2,2025-10-10,e2526,age_lt30,105647,2.0,2,-0.006340498246245163,-0.000025,0.009436779654895089,-0.00014131,-0.010865498246245163,-0.006070028591350073,false
0GUSDT,-1,0.0015,1,2025-10-11,e2526,age_lt30,105647,1.0,1,-0.0049096372793835386,-0.0000125,0.014602437608821739,0.0001,-0.009422137279383538,0.0007803003294382001,false
0GUSDT,-1,0.0015,1,2025-10-11,e2526,age_lt30,105647,6.0,6,-0.011963924167126772,0.00186056,0.0017729168677926843,-7.37e-6,-0.014603364167126771,-0.017337817299334084,false
0GUSDT,-1,0.0015,2,2025-10-11,e2526,age_lt30,105647,5.0,5,-0.025594481757124532,0.0013222,0.0030654724359783225,-7.37e-6,-0.028772281757124533,-0.030214179321146208,false
0GUSDT,-1,0.0015,1,2025-10-12,e2526,age_lt30,105648,2.0,2,0.042430929067255096,-0.000025,-0.01515252671186973,0.00006092,0.0379059290672551,0.018314322355385368,false
0GUSDT,-1,0.0015,2,2025-10-12,e2526,age_lt30,105648,1.0,1,0.012321428571428372,-0.0000125,-0.007720503118422206,0.0,0.007808928571428372,-0.004411574546993834,false
0GUSDT,-1,0.0015,1,2025-10-12,e2526,age_lt30,105648,2.0,2,-0.004352936055369239,0.00041838,-0.0026158162434790633,0.0,-0.008434556055369238,-0.0155503722988483,false
