threshold,sign,persistence,era,n_trades,mean_gross_alt_bp,mean_alt_funding_bp,mean_gross_btc_bp,mean_btc_funding_bp,mean_net_unhedged_bp,mean_net_hedged_bp,mean_hold_h,n_weeks,capped_share,se_net_hedged_bp_wk,se_net_unhedged_bp_wk,median_net_hedged_bp,win_rate_hedged
0.003,-1,1,pre2025,3663,-36.71280400086725,75.35621971061971,-9.672049583091987,0.5975656292656293,-6.356584290247537,-60.43106824407389,10.52061152061152,167,0.000273000273000273,16.26993340400853,17.959792120093127,-104.56256030073784,0.2852852852852853
0.003,-1,1,post2025,16993,-48.79622416941805,66.99419789913493,2.43464309920373,0.20830261284058144,-26.80202627028312,-69.1590805582388,6.057788501147531,80,0.00005884776084269993,14.601410716627875,15.595302644147866,-115.58169341033877,0.2574589536868122
0.003,-1,2,pooled,9128,-66.47568078241999,117.20036509640666,-1.0323110549875543,0.35349181638913235,5.724684313986675,-39.95413492461174,8.79535495179667,238,0.00010955302366345311,28.519981572920493,29.480094197939334,-117.86617266297806,0.28680981595092025
0.003,-1,2,e2122,898,-68.94538001657727,83.27730634743874,7.592996370188767,0.04176135857461026,-30.668073669138522,-68.03331594037515,9.10467706013363,58,0.0,16.227644137237984,18.192860813451308,-92.92622439753227,0.2639198218262806
0.003,-1,2,e2324,613,-6.385175101351849,188.99471451876025,-39.41653484122713,1.7866995106035886,137.60953941740837,54.979704086784814,20.061990212071777,101,0.0,53.946095360358285,49.56595221610395,-165.9370009551369,0.37520391517128876
0.003,-1,2,e2526,7617,-71.02047401731843,115.42183950374164,1.0398962593299625,0.2749015097807536,-0.5986345135768062,-44.283836744466086,7.852172771432323,80,0.0001312852829197847,33.69695937797323,34.16213645975266,-121.83056485757233,0.28239464356045685
0.003,-1,2,pre2025,1511,-43.56523070285578,126.16597028457976,-11.478375325772811,0.7496681005956322,37.60073958172397,-18.127967643453204,13.549966909331568,159,0.0,25.31043405356643,25.74101126873622,-101.9935986405173,0.30906684315023164
0.003,-1,2,post2025,7617,-71.02047401731843,115.42183950374164,1.0398962593299625,0.2749015097807536,-0.5986345135768062,-44.283836744466086,7.852172771432323,80,0.0001312852829197847,33.593815904199786,34.274660817933814,-121.83056485757233,0.28239464356045685
0.005,1,1,pooled,1750,42.233168089143554,11.562276971428572,-2.539382261695602,-0.16609891428571424,8.795445060572142,-38.91003611540918,2.8354285714285714,143,0.0,17.925437121322744,17.668240865009764,-74.74482548851445,0.3251428571428571
0.005,1,1,e2122,504,17.296078294316846,1.3149996031746016,-2.344271412903163,-0.007471428571428578,-26.388922102508545,-73.74066494398313,1.8095238095238095,48,0.0,7.813021416095329,7.527579168091245,-80.58035393246716,0.21428571428571427
0.005,1,1,e2324,127,99.4647544514959,30.39659842519691,-6.04654247322812,-1.4502960629921255,84.8613528766927,32.36451434047253,5.622047244094488,35,0.0,97.38544407334973,101.95801652149306,-80.67836938293556,0.3464566929133858
0.005,1,1,e2526,1119,46.96943420940621,14.040086595174264,-2.2292182946953867,-0.09179615728328866,16.009520804580493,-31.311493647398198,2.9812332439678286,60,0.0,24.731178340530164,25.73641728896107,-68.70100270773268,0.3726541554959786
0.005,1,1,pre2025,631,33.83398934338458,7.168189857369255,-3.089419471003432,-0.2978656101426308,-3.9978207992461536,-52.385105880392224,2.5768621236133122,83,0.0,21.026497884245792,21.546985798140405,-80.67836938293556,0.24088748019017434
0.005,1,1,post2025,1119,46.96943420940621,14.040086595174264,-2.2292182946953867,-0.09179615728328866,16.009520804580493,-31.311493647398198,2.9812332439678286,60,0.0,24.71133573125713,23.981344311686005,-68.70100270773268,0.3726541554959786
0.005,1,2,pooled,536,57.89913635415312,21.540174999999994,-3.695177465677535,-0.19868451492537312,34.43931135415312,-14.454550626449782,3.162313432835821,95,0.0,47.37847585648375,47.81512675917365,-74.64172948878374,0.375
0.005,1,2,e2122,141,28.135314392609263,5.996277304964538,5.953136017863347,0.05300070921985815,-10.868408302426191,-49.86227157534298,1.801418439716312,32,0.0,11.030184121519246,12.054363554504743,-76.1863441095086,0.2695035460992908
