symbol,d0,era,week_block,side,entry_day,gross,funding,net45,net90,n_funding_events_hold,pump_cell,tdecay_cell,fund_cell,crowd_cell,btc_cell,pump01,tdecay,fund8h,btc30d
1000LUNCUSDT,2022-09-10,e2122,105486,short,2,-0.030728122912491603,-0.0036898,-0.0389179229124916,-0.0434179229124916,15,pump_0_25,tdec_ge70,fund_flat,crowd_24,btc_down,0.00838769804287054,1.3262161191723838,0.000046290000803645845,-0.0836301117524254
1000LUNCUSDT,2022-09-10,e2122,105486,long,2,0.030728122912491603,0.0036898,0.0299179229124916,0.0254179229124916,15,pump_0_25,tdec_ge70,fund_flat,crowd_24,btc_down,0.00838769804287054,1.3262161191723838,0.000046290000803645845,-0.0836301117524254
1000PEPEUSDT,2023-05-06,e2324,105520,short,1,0.3342771127517741,-0.00505791,0.32471920275177407,0.32021920275177407,17,pump_le0,tdec_30_70,fund_flat,crowd_24,btc_up,-0.2501881113619262,0.6827918247812038,-0.00019055,0.018956139501697722
1000PEPEUSDT,2023-05-06,e2324,105520,long,1,-0.3342771127517741,0.00505791,-0.3337192027517741,-0.3382192027517741,17,pump_le0,tdec_30_70,fund_flat,crowd_24,btc_up,-0.2501881113619262,0.6827918247812038,-0.00019055,0.018956139501697722
1000PEPEUSDT,2023-05-06,e2324,105520,short,2,0.04567406494040282,-0.00525791,0.035916154940402824,0.03141615494040282,15,pump_le0,tdec_ge70,fund_flat,crowd_24,btc_down,-0.2501881113619262,1.077712957425821,0.0001,-0.00949331958216515
1000PEPEUSDT,2023-05-06,e2324,105520,long,2,-0.04567406494040282,0.00525791,-0.04491615494040282,-0.04941615494040282,15,pump_le0,tdec_ge70,fund_flat,crowd_24,btc_down,-0.2501881113619262,1.077712957425821,0.0001,-0.00949331958216515
1000RATSUSDT,2023-12-16,e2324,105552,short,1,0.01633333333333335,0.01757468,0.029408013333333347,0.024908013333333347,35,pump_le0,tdec_ge70,fund_pos,crowd_24,btc_up,-0.23344947735191635,0.9304241338892371,0.00069458,0.13037554031877097
1000RATSUSDT,2023-12-16,e2324,105552,long,1,-0.01633333333333335,-0.01757468,-0.038408013333333345,-0.04290801333333335,35,pump_le0,tdec_ge70,fund_pos,crowd_24,btc_up,-0.23344947735191635,0.9304241338892371,0.00069458,0.13037554031877097
1000RATSUSDT,2023-12-16,e2324,105552,short,2,-0.11251627938858053,0.0123588,-0.10465747938858053,-0.10915747938858052,29,pump_le0,tdec_ge70,fund_flat,crowd_24,btc_up,-0.23344947735191635,0.8410827038883705,0.00015656,0.16650219103411867
1000RATSUSDT,2023-12-16,e2324,105552,long,2,0.11251627938858053,-0.0123588,0.09565747938858052,0.09115747938858053,29,pump_le0,tdec_ge70,fund_flat,crowd_24,btc_up,-0.23344947735191635,0.8410827038883705,0.00015656,0.16650219103411867
1000SATSUSDT,2023-12-13,e2324,105552,short,1,0.0645289519014177,0.00861861,0.0686475619014177,0.06414756190141771,35,pump_25_100,tdec_ge70,fund_pos,crowd_01,btc_up,0.37218181818181795,3.479855270652183,0.00088202,0.21016901487668394
