side,entry_day,cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45,feature
short,1,fund_pos,e2324,44,27,259.179097463567,91.6155340909091,305.79463155447615,260.7946315544761,357.9176800039928,515.3582312869265,0.6590909090909091,fund_cell
short,1,fund_pos,e2526,54,31,-87.10193129016388,98.29768333333334,-33.80424795683049,-78.80424795683062,569.0957156339936,567.6120911420251,0.6481481481481481,fund_cell
short,1,fund_pos,pre2025,49,32,388.9976670126675,97.4725387755102,441.4702057881777,396.4702057881777,333.9002295295221,686.475619014177,0.6938775510204082,fund_cell
short,1,fund_pos,post2025,54,31,-87.10193129016388,98.29768333333334,-33.80424795683049,-78.80424795683062,564.5427796558562,567.6120911420251,0.6481481481481481,fund_cell
short,1,fund_none,pooled,64,6,-85.79505665372476,2.74065,-128.05440665372475,-173.05440665372478,177.2126006145436,-142.08188979672227,0.453125,fund_cell
short,1,fund_none,e2122,0,,,,,,,,,fund_cell
short,1,fund_none,e2324,0,,,,,,,,,fund_cell
short,1,fund_none,e2526,64,6,-85.79505665372476,2.74065,-128.05440665372475,-173.05440665372478,177.2095756741658,-142.08188979672227,0.453125,fund_cell
short,1,fund_none,pre2025,0,,,,,,,,,fund_cell
short,1,fund_none,post2025,64,6,-85.79505665372476,2.74065,-128.05440665372475,-173.05440665372478,177.72881943014116,-142.08188979672227,0.453125,fund_cell
short,2,fund_neg,pooled,75,58,-454.9413525559974,-337.28819466666675,-837.229547222664,-882.2295472226641,612.737060311083,434.2474602584697,0.5733333333333334,fund_cell
short,2,fund_neg,e2122,6,6,1065.5505388188274,-163.73398333333333,856.816555485494,811.816555485494,560.6415479250486,1138.4335890939242,0.6666666666666666,fund_cell
short,2,fund_neg,e2324,26,20,-15.651994646953293,-322.46626153846154,-383.1182561854149,-428.11825618541496,473.90233656983304,272.1540678987363,0.5384615384615384,fund_cell
short,2,fund_neg,e2526,43,32,-932.7198328788837,-370.4671604651163,-1348.1869933439996,-1393.1869933439998,982.7828484708282,434.2474602584697,0.5813953488372093,fund_cell
short,2,fund_neg,pre2025,32,26,187.07348037788057,-292.703959375,-150.63047899711944,-195.63047899711944,402.3710057268885,463.74100892437724,0.5625,fund_cell
short,2,fund_neg,post2025,43,32,-932.7198328788837,-370.4671604651163,-1348.1869933439996,-1393.1869933439998,982.4339111694029,434.2474602584697,0.5813953488372093,fund_cell
short,2,fund_flat,pooled,446,167,143.2575302413352,-39.67104663677131,58.58648360456393,13.586483604563899,156.10707041423376,398.5323566587569,0.5986547085201793,fund_cell
