side,entry_day,pump_cell,fund_cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45
long,2,pump_le0,fund_none,pooled,35,6,-204.9797027386386,-2.4066742857142853,-252.38637702435284,-297.3863770243529,153.07291823450188,-232.19747110540453,0.34285714285714286
long,2,pump_le0,fund_none,e2122,0,,,,,,,,
long,2,pump_le0,fund_none,e2324,0,,,,,,,,
long,2,pump_le0,fund_none,e2526,35,6,-204.9797027386386,-2.4066742857142853,-252.38637702435284,-297.3863770243529,155.6476524537371,-232.19747110540453,0.34285714285714286
long,2,pump_le0,fund_none,pre2025,0,,,,,,,,
long,2,pump_le0,fund_none,post2025,35,6,-204.9797027386386,-2.4066742857142853,-252.38637702435284,-297.3863770243529,157.32626891985728,-232.19747110540453,0.34285714285714286
short,1,pump_0_25,fund_neg,pooled,21,19,1186.4637589840543,-169.4323238095238,972.0314351745304,927.0314351745304,516.3038331290238,1025.317287519301,0.7142857142857143
short,1,pump_0_25,fund_neg,e2122,3,2,2908.397048513896,-160.80223333333333,2702.594815180563,2657.5948151805624,941.1848141194769,2777.715367097968,1.0
short,1,pump_0_25,fund_neg,e2324,9,9,677.700250140393,-216.9982777777778,415.70197236261504,370.7019723626151,349.6948071670025,361.43601965317856,0.6666666666666666
short,1,pump_0_25,fund_neg,e2526,9,8,1121.2495046511012,-124.74306666666668,951.5064379844347,906.5064379844348,1025.034464575069,1310.44663537365,0.6666666666666666
short,1,pump_0_25,fund_neg,pre2025,12,11,1235.3744497337686,-202.9492666666667,987.4251830671021,942.4251830671021,506.1658604116502,1011.5260784273162,0.75
short,1,pump_0_25,fund_neg,post2025,9,8,1121.2495046511012,-124.74306666666668,951.5064379844347,906.5064379844348,1055.4523191900928,1310.44663537365,0.6666666666666666
